statementClean,cRelevant,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber
staying inside the hexagon pretty well this time,0,809,6,6,103
yeah im flying all over the place here,0,127,2,2,158
alright stick and move,0,16,4,4,326
this is the 5th game and i still have not mastered the flight pattern,0,20,5,5,558
i pressed that too fast,0,12,4,4,487
slow down,0,51,7,7,256
too fast,0,56,7,7,108
alright buddy come on,0,568,3,3,65
thats my last chance right here,0,49,9,9,492
alright qhd lets go,0,568,1,1,5
i didnt not realize that there would be acceleration in this which kind of makes it tougher,0,400,1,1,53
im able to stay in the control zone a little bit better this time,0,404,2,2,57
ill just take that hit i guess and control for it,0,12,9,9,657
yeah the problem is the velocity points i cant even slow it down,0,127,5,5,199
p um yeah im kinda trying to get it to go as slow as i can because it moves very fast,0,211,2,2,30
mumbles alright,0,568,1,1,16
all right lets do this,0,55,9,9,982
p so the controls have not switched up on me,0,53,9,9,397
oh enter thats right,0,33,1,1,560
moving toward the fortress,0,300,1,1,206
tell her to slow down,0,131,2,2,52
p alright,0,16,2,2,90
i keep going in circles,0,468,6,6,132
alright come on,0,16,8,8,670
thats a foe but i didnt do it fast enough,0,49,8,8,461
slow down slow down,0,127,4,4,184
umm ah back in hyperspace,0,468,7,7,149
so trying to stay within the hexagon,0,468,7,7,139
okay i didnt know that those mines could move,0,51,1,1,13
money sign left click bonus,0,681,8,8,304
alright turn turn turn turn,0,210,6,6,83
so i should stop missing,0,3,7,7,143
okay oh okay now i understand so forward is forward and im just moving left and right  if i wanna decrease the speed i actually dont know how to do that,0,468,1,1,8
alright i am at 11 and i dont think i know exactly what to do there we go,0,558,10,10,71
i guess im just not doing it fast enough,0,127,8,8,252
quails stop x rays,0,53,10,10,465
nope stop,0,14,4,4,587
and hyper drive i didnt wanna do that,0,14,4,4,589
learn how to move,0,16,8,8,672
p oh man alright im going for it,0,190,4,4,173
nope nope turn around turn there you go turn turn,0,210,3,3,35
like what im thinking is it pushes you forward really fast and um so like when it pushes you you need to change directions to slow down or else youll go flying,0,214,5,5,306
oh i am clicking too slow on the intervals with the enemy enemy mines,0,404,7,7,256
im using backspace and it doesnt go back,0,54,5,5,301
nope too fast,0,788,8,8,161
out of control still,0,319,10,10,258
turn,0,28,10,10,462
im doing good with mines and going off the screen,0,51,5,5,172
stinkin move,0,16,5,5,404
i got to slow down,0,34,7,7,334
damn these shits movin faster,0,16,5,5,424
okay left turn,0,27,1,1,10
alright no,0,28,3,3,124
how do you go forward again,0,57,8,8,1324
alright bet,0,16,5,5,429
qwk i think double right click and then kill that thing,0,52,8,8,795
well hyper space is an easy way to get away from mines but you start moving too quickly yoawe come on,0,14,6,6,648
p yeah like maybe i should try shooting some more but just wanna get the control thing first down so you like,0,468,3,3,44
alright,0,28,9,9,371
turn thrust turn thrust turn thrust,0,53,10,10,481
left,0,20,7,7,657
stop hitting me,0,29,2,2,354
tqj alright yes,0,404,4,4,136
can you slow down,0,113,8,8,494
so now we are trying to get back into the hexagon unfortunately there is a foe mine on the screen that hasnt been shot so luckily i was able to avoid it,0,848,8,8,367
alright we have to wait 250 milliseconds before each shot,0,20,5,5,566
yeah the counterclockwise thing is not working for me,0,52,7,7,767
get back on ok go slow again fix the aim,0,300,8,8,371
going out of control really wrecks your points,0,647,10,10,246
slow down,0,51,10,10,455
o thats a friendly alright,0,404,10,10,381
alright,0,29,4,4,408
im on level 10 h too fast,0,211,8,8,112
so i dont understand how when i stay still i get control points,0,54,10,10,465
p alright round two what am i going to do,0,825,1,1,44
slow down,0,51,7,7,271
nice and slow,0,41,9,9,582
still going too fast second dollar sign,0,319,7,7,183
the letter is l so im not very good at controlling this,0,3,1,1,12
ya know if i was good enough i could keep it in a circle that would be pretty cool,0,818,5,5,112
there we go and now just turn and a little bit of speed,0,51,2,2,38
terrible control score,0,41,2,2,377
the controls get out of whack very easily,0,14,1,1,456
i only wish that there was a slow down button,0,411,8,8,125
um this is very hard to control,0,739,1,1,9
wait ok i lost control,0,210,2,2,20
alright come on i got the turn game now,0,16,5,5,381
were gona go slow the joystick is going to help me,0,52,8,8,805
let me try to slow down,0,3,7,7,135
um i need to stop,0,54,6,6,366
okay gonna go a lot slower,0,24,2,2,52
i was too slow on the interval that time to get the mine,0,681,3,3,247
stay in the hexagon man,0,49,4,4,357
p at the moment it feels like my thoughts are like just how to get around how do i turn like how do i keep straight how do i um do this or do that like,0,825,1,1,23
we just have to be going at the right velocity,0,848,9,9,375
p alright,0,739,1,1,6
alrighty,0,155,1,1,138
alright you my friend,0,16,3,3,193
can you please stop it,0,29,10,10,602
slow down,0,51,7,7,233
or stop missing,0,3,7,7,139
p alright that was pretty bad,0,29,2,2,346
slow down,0,51,7,7,282
okay thats how you move,0,27,1,1,5
i want to come back into the hexagon and just stay there,0,52,1,1,516
theres a mine on the screen,0,55,4,4,689
screen wrap really takes the points out of my system so if i could just avoid screen wrap then i shouldnt be mumbles,0,404,10,10,374
going to the bottom of the hexagon fire a few shots again,0,300,9,9,387
p alright zmr are the foe mines,0,372,6,6,72
slow down,0,51,9,9,366
turn around turn around make a right for forward,0,20,6,6,615
the control is a little loose,0,210,1,1,4
alright it blacked out,0,210,1,1,13
did not react fast enough,0,12,6,6,545
oh alright i already forgot the letters,0,190,3,3,157
alright imma get it back,0,16,10,10,811
you could have told me that that probably wouldnt have made a difference if you press the two middle keys together it kinda keeps them in a rotation,0,49,4,4,367
okay please stop oh wait,0,41,4,4,436
okay trying trying to go slowly,0,24,1,1,39
i have no control of this ship,0,113,3,3,332
its not like when you get hit by the missiles and the screen starts but its like the mine hits you it freezes,0,818,6,6,133
in the hexagon in the hexagon,0,28,1,1,41
alright bonus points left missiles,0,16,1,1,4
damn every time i think i have the flight pattern down i dont,0,20,6,6,605
slow down slow down,0,53,5,5,208
okay were just gonna keep going right,0,818,9,9,223
oh alright it repeats again,0,20,2,2,459
alright i missed,0,809,2,2,42
okay im going way to fast with the speed,0,34,4,4,177
left,0,910,1,1,17
alright managed to hit the enemy got the vulnerability 1 vulnerability 2,0,404,7,7,254
p alright,0,20,1,1,384
cant seem to get it to go right,0,804,3,3,260
i keep on dying but staying inside the hexagon is really hard wow i just got second bonus,0,130,6,6,349
i need to learn how to move,0,16,8,8,654
need to turn around,0,55,9,9,954
mumbles trying to make my ship so i can move to a clockwise,0,300,9,9,388
i keep losing control,0,788,8,8,159
since the movement is so hard,0,12,5,5,520
mine is on screen it is t,0,3,4,4,69
turn around aw man,0,818,10,10,253
im worried about flying it and i cant this is a lot harder than i thought,0,55,1,1,550
and go forward,0,28,7,7,289
nope nope slow down no slow the f come on man,0,16,10,10,808
ship is going very very fast,0,804,6,6,302
so much for the counterclockwise or the clock wise,0,52,4,4,612
bonus i keep flying around that works ok,0,569,7,7,204
rotating to the right,0,300,1,1,203
alright successful,0,825,4,4,147
alright first dollar sign,0,788,8,8,154
im surprised im negative 700 points right now,0,825,1,1,18
alright onf alright i can do that,0,16,1,1,8
alright thats one,0,16,4,4,318
im not even im not even trying to avoid it im just out of control right now,0,155,6,6,238
ah gotta keep it on the screen,0,739,5,5,51
so try to stasy in the hexagon but thats really hard tot do,0,12,1,1,346
is it the same controls,0,190,2,2,126
p alright,0,848,4,4,255
3 4 5 alright 6 alright 9 okay it disappeared and got no,0,29,8,8,559
turn,0,57,1,1,851
alright so dollar sign,0,14,9,9,811
alright this joystick,0,16,1,1,23
stop it,0,113,2,2,299
alright viw,0,20,3,3,493
no dont go into hyperspace,0,29,2,2,352
focus on shooting the fortress and staying inside the hexagon right now,0,300,7,7,349
i cant get this darn thing to slow down,0,127,6,6,222
like whats going on okay i should definitely go a little more slow,0,214,2,2,225
the mines go very fast as well,0,24,1,1,24
now its really the mines cause i realized the fortress doesnt really shoot like i can easily dodge like move away from its shots umm so like the mines are doing things to me now,0,411,7,7,106
and im just going like out of the bounds,0,214,1,1,204
ok let me just get inside the control,0,404,9,9,359
alright,0,41,10,10,632
mumbles turn,0,56,5,5,55
alright come on,0,16,10,10,807
and im already moving way too fast,0,14,2,2,499
p alright,0,54,2,2,203
im kind of spinning right now,0,468,8,8,179
moving way too fast,0,3,9,9,178
switches from left hand to right hand,0,685,1,1,11
any chance i could play this with my right hand,0,818,1,1,4
alright i got a friendly mine n thats,0,404,6,6,226
slow down,0,51,6,6,197
right heres another thing that im supposed to get but i think that was the first one but im honestly not paying attention to that,0,47,1,1,7
i think my new strategy is going to juts to avid this guy and just to stay on the hexagon because thats all i can kind of do,0,52,7,7,759
im im the key is entering hyperspace and just taking points,0,41,3,3,392
stop shooting me,0,818,10,10,256
hey are these controllers ok,0,214,1,1,192
alright come on,0,16,8,8,630
but trying to gain points for velocity and points,0,848,2,2,216
no why dont you turn,0,210,7,7,94
p i keep pulling backwards on the joystick even though it doesnt work,0,50,7,7,82
im going way too fast,0,3,5,5,84
i gotta turn and boost turn boost turn boost turn boost turn boost,0,16,3,3,217
im thinking that i really have to learn to slow down and how to control my ship if i learn how to do that then that means i can definitely win this game multiple times,0,41,6,6,506
i have not been able to keep control as  i accidently shot a foe mine and it blew me up,0,848,6,6,309
getting that dollar sign right,0,647,5,5,178
mumbles out of control,0,319,4,4,105
clockwise right,0,26,2,2,14
oh out of control now,0,319,3,3,54
oh jeeze oh my god slow down,0,53,1,1,31
1 alright mumbles alright 3 on the vulnerability counter,0,372,7,7,86
it starts firing at you right when you get started,0,809,4,4,70
jkl no it was jkh right,0,977,3,3,68
alright r friendly mine got the hit,0,404,7,7,270
and ive just lost control,0,818,4,4,76
alright back lemmy get them points,0,16,3,3,203
control your speed,0,51,6,6,183
alright 25 shots,0,685,10,10,224
p alright i hit it,0,404,5,5,185
alright trying to get into a good path,0,319,3,3,50
and rotation,0,30,8,8,447
and alright,0,54,10,10,450
i have no other optimal path other than going to the right,0,818,6,6,123
i need to get in control of you,0,113,8,8,487
the biggest problem is definitely keeping this thing under control and then once you do that theres definitely better ways to capitalize on the mines but im pretty sure you can just shoot them all so i dont know,0,47,6,6,95
im just going to go like that points up screen and its going to go up continuously,0,53,8,8,378
mumbles go inside 50 36 shots left,0,26,9,9,153
ohh vulnerability is gone too fast,0,211,7,7,93
moving back inside the hexagon slowing down first,0,300,5,5,301
okay so so starting to get the controls,0,41,1,1,303
p okay alright this is a lot harder than i thought ugh,0,788,1,1,60
you geet used to everytime you respond you have to immediately move again,0,12,3,3,436
cant keep control of the ship but this is hard,0,804,2,2,252
13 shots left,0,26,5,5,81
uh theres an h on the screen mine there was also just a bonus,0,848,8,8,356
alright so,0,33,5,5,720
p alright so for this game we are going to try and stay in the circle best we can oh not the circle hexagon,0,848,3,3,232
i have one shot left,0,52,10,10,896
turn,0,210,10,10,168
turn ok,0,210,7,7,114
p opposite direction so youre like trying to continuously turn i guess,0,468,2,2,23
nice and slow thats an x mine,0,41,1,1,315
moving forward again slowing down,0,300,3,3,263
see if i stop here its gonna shoot me,0,214,6,6,328
accelerates so quickly,0,52,2,2,538
occasionally i try to use thruster to shoot thats not how it works,0,14,5,5,599
just trying to keep it on the screen,0,739,3,3,34
p alright,0,14,8,8,732
4 mumbles mumbles i can control this thing i should nope,0,26,5,5,84
uh t that didnt matter i just ran right into it,0,825,2,2,77
alright well i killed it once ive improved by 1700 points im not that bad,0,41,2,2,376
turn shoot,0,28,9,9,392
alruight right right,0,20,7,7,653
and im not on the right keys,0,57,10,10,1482
stop doing that,0,51,4,4,97
alright just just trying to stabilize,0,30,3,3,127
i just figured out how to move a little better,0,214,8,8,354
slow down,0,51,7,7,287
thrust left right,0,16,2,2,97
get back in the hexagon,0,155,8,8,272
turn shoot,0,28,3,3,123
alright im at vulnerability 6 try to alter my path a little bit,0,404,6,6,229
control control control,0,404,10,10,375
alright ok,0,190,8,8,209
out of control,0,319,5,5,131
laughs alright i got this,0,190,1,1,107
rotate slow again spin to the right very slightly a t i think that was a foe mine,0,300,2,2,229
okay nice and slow managed to get one shot on it,0,41,1,1,326
i wasnt going too fast i stayed inside the hexagon flying maybe the wrong way but mumbles umm yeah so,0,468,5,5,82
i the frictionless space,0,52,5,5,656
im just trying to get the hang of the control,0,404,4,4,165
and then the fact that backwards on the control pad doesnt do anything,0,404,2,2,64
stop,0,127,4,4,180
gonna press slowly gonna shoot diagonals,0,300,4,4,289
gotta try to develop my strategy on the go im not worried about control until that last hit i guess,0,404,5,5,203
the ship wrapped the screen wow 36 times,0,155,6,6,247
p cause it tells you when to change direction and when you change direction you change acceleration,0,214,5,5,312
so i try to stay within that velocity within the fortress i dont think i will have a problem,0,848,5,5,279
p okay umm so im just trying to control the ship right now im getting a tiny better but still not really able to go the other way but still  umm so yeah i think this will take some getting used to,0,468,2,2,19
p my score got really good really fast,0,825,6,6,201
move alright,0,910,1,1,18
alright uh,0,468,1,1,14
p im trying to go clockwise,0,50,1,1,5
p alright so lets youuu,0,28,3,3,122
all right cool,0,57,6,6,1209
okay so if its lrg stop it,0,825,3,3,89
alright now im gonna start shooting the fortress now,0,28,4,4,161
alright so yeah 2373,0,568,2,2,52
p now im going out of control,0,45,3,3,23
i cant really stop this thing,0,130,1,1,214
its a foe so now i have 1 left,0,46,7,7,514
okay so i managed to stay on the screen,0,57,6,6,1202
and hes moving faster than usual it seems like,0,20,3,3,474
and turn again,0,155,2,2,162
and it seems that sometimes he doesnt shoot me but sometimes he does like depending on where i am on the screen,0,47,10,10,145
so we move around,0,14,10,10,840
so hopefully we can get it this time and just trying to stay inside the hexagon oh no its too fast,0,130,3,3,262
also shooting the fortress to destroy it at the same time the dollar sign is on the screen,0,848,10,10,405
this game is like slowly destroying my confidence at playing games,0,411,6,6,99
alright yeah,0,214,1,1,199
okay moving toward the fortress this time move forward,0,300,1,1,205
it was slower,0,53,8,8,393
i keep going into hyperspace so that not good losing points,0,34,1,1,39
p full game mumbles rules that are written on screen,0,53,6,6,242
kinda giving up on control but maybe i can do better on velocity,0,46,9,9,580
no dont go off the screen,0,14,6,6,646
too fast too fast too fast too fast,0,14,8,8,752
im not doing very well at all right now,0,809,1,1,27
slow down,0,53,7,7,339
i dont now how to control this,0,29,5,5,482
oh my god stop killing me,0,113,5,5,398
okay go forward,0,28,5,5,220
go you got move,0,51,10,10,462
slowly,0,56,10,10,181
alright i just got killed,0,372,8,8,97
alright thats one dollar sign,0,16,6,6,466
and like i cant i have a problem talking and like controlling myself like i cant even do that,0,214,4,4,281
there you go slow down,0,57,3,3,1009
right click cant kill him,0,33,10,10,913
all right,0,55,8,8,902
p i just didnt realize the ship was so sensitive that just tapping the arrow it would fly off the screen,0,190,2,2,122
i cant control it,0,33,1,1,561
