statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
fortress,0,0,12,5,15,159,TRUE,0
p i got like 4 on the fortress 5,1,1,19,7,17,59,TRUE,1
its the main issue im having right now lining up my shots and actually hitting the fortress,1,1,558,6,16,113,TRUE,1
so we are back in the fortress but a deadly mine has arrived,0,0,848,10,20,216,TRUE,0
now we are trying to stay on the right side because there is some problem with the fortresss right side apparently,0,0,848,6,16,121,TRUE,0
all the other points are doing well because i have been doing my best to stay within the fortress and lets see if we can get one more or not,0,0,848,7,17,153,TRUE,0
p i always forget that the fortress is going to shoot at me as soon as the game starts so even though i kind of expect it its still frustrating,0,0,558,6,6,41,TRUE,0
the fortress attacks quickly its like oh youre here im going to kill you one dollar sign,0,0,420,9,19,231,TRUE,0
p theres definitely a lot going on in this game to deal with the mines and the fortress and the bonuses,0,0,2,2,2,13,TRUE,0
managing to hit the enemy fortress pretty hard,1,1,404,3,3,105,TRUE,1
thats the most ive ever gotten the fortress,1,1,55,9,9,963,TRUE,1
so i try to stay within that velocity within the fortress i dont think i will have a problem,0,0,848,5,15,89,TRUE,0
and i think if i get hit one more time im going to blow up but thats ok i think i can take care of the fortress beforehand,1,1,586,2,12,187,TRUE,1
sorry no nope nope nope right into the fortress whispering,0,0,604,2,12,63,TRUE,0
i feel like the fortress definitely has an advantage,0,0,20,4,4,525,TRUE,0
the fortress destroyed you 46 times,0,0,53,1,11,535,TRUE,0
oh my god how many times can my fortress shoot me,0,0,101,3,13,138,TRUE,0
this isnt fortress,0,0,9,4,4,653,TRUE,0
its very slippery im staying outside of the control line a lot which is very difficult to stay in and when it starts immediately and the fortress gets off the first shot that i really cannot avoid,0,0,404,1,1,21,TRUE,0
im shooting but im missing at this fortress,1,1,273,6,6,124,TRUE,1
p got that fortress,1,1,454,5,15,63,TRUE,1
destroyed the fortress,1,1,681,7,17,128,TRUE,1
got the fortress again,1,1,46,6,6,464,TRUE,1
shooting the fortress is the least of my worries right now,1,1,338,1,1,22,TRUE,1
if you keep moving the fortresss wont hit you,0,0,12,6,16,187,TRUE,0
it said i destroyed the fortress one time so i dont know maybe i didnt have to do anything,1,1,273,9,9,190,TRUE,1
lets work on killing the fortress,1,1,44,9,9,1174,TRUE,1
and yeah im so focused on controlling myself that i cant but its coming easier soon ill be able to get this fortress,1,1,214,6,16,149,TRUE,1
its a fortress,0,0,53,6,16,737,TRUE,0
and the fortress is no difficulty enemy,0,0,53,3,13,634,TRUE,0
i keep losing points cause im getting hit by the fortress,0,0,12,9,9,666,TRUE,0
got the fortress too,1,1,46,7,17,180,TRUE,1
vulnerability 1 2 3 4 5 1 2 3 4 5 6 7 8 9 10 i destroyed the fortress,1,1,372,6,16,196,TRUE,1
im slowly moving strait towards the fortress and now im dead,0,0,14,5,15,175,TRUE,0
is this called space fortress or boring game,0,0,804,9,19,206,TRUE,0
this fortress has no idea what im doing,0,0,214,6,16,150,TRUE,0
alright one on vulnerability counter 4 5 6 9 10 alright destroyed the fortress 374 points,1,1,372,4,14,175,TRUE,1
p just bouncing off the fortress right now,0,0,50,2,2,17,TRUE,0
its becoming a little somewhat easier to control unfortunately the fortress has been able to shoot me quite a few times,0,0,848,8,8,360,TRUE,0
its really hard to avoid the shooting fortress when you cant even control the ship,0,0,338,5,5,96,TRUE,0
come on come on lemmy just destroy the fortress,1,1,29,9,19,262,TRUE,1
i dont know how you can actually kill this fortress,1,1,11,2,12,504,TRUE,1
just blew up again just trying to stay within the fortress this time the speed is very fast,0,0,848,1,11,10,TRUE,0
90 shots i havent taken that many shots against the fortress because i obviously havent been able to level myself off enough,1,1,586,4,4,65,TRUE,1
double dollar sign for points at this point im just trying to stay in a path where i can get where i can shoot at the fortress because when i press forward it goes too fast and i am not able to accurately at all like right now,1,1,853,5,15,393,TRUE,1
the fortress still a little pissed off that i cant do nothing for it,0,1,804,8,8,350,FALSE,0
every time you hit the fortress you get 4 points okay thats cool,1,1,818,4,14,398,TRUE,1
i destroyed the fortress 0 times,1,1,721,1,11,20,TRUE,1
and bounced off the fortress,0,0,14,3,13,83,TRUE,0
this whole time i destroyed the fortress once the most glorious moment of my life,1,1,790,7,7,303,TRUE,1
alright there goes the first hit by the fortress,0,0,804,2,12,37,TRUE,0
you destroyed the fortress 0 times no surprise there,1,1,155,6,16,116,TRUE,1
6 i dont know why it went right through the fortress,0,1,537,9,19,182,FALSE,1
fortress,0,0,49,7,17,165,TRUE,0
money sign bonus got this fortress,0,0,681,9,19,166,TRUE,0
as if that makes any sense for the fortress,0,0,537,6,16,115,TRUE,0
this is actually quite worse than my last attempt but i got one fortress till,0,0,825,8,8,244,TRUE,0
one more fortress kill killed it,1,1,3,10,20,545,TRUE,1
for some reason the fortress seems to like its shots are easily predictable and it only shoots when youre at a certain velocity and distance from the fortress,0,0,848,5,15,88,TRUE,0
moving toward the fortress,0,0,300,1,11,14,TRUE,0
i was damaged 24 times by the fortress,0,0,568,2,2,54,TRUE,0
i dont like how it goes through the fortress,0,1,537,4,14,77,FALSE,1
i died before i could shoot the fortress again,1,1,3,4,14,364,TRUE,1
lets get the fortress,1,1,55,10,20,502,TRUE,1
go towards the fortress,0,0,44,5,5,802,TRUE,0
alright destroyed the fortress twice getting better at it now,1,1,809,3,13,52,TRUE,1
as long as i can avoid a mine if im able to slow my ship down enough then i can try working on destroying the fortress,1,1,44,3,13,68,TRUE,1
p but im not hitting the fortress as much which is weird for some reason i keep think i will do better,1,1,211,8,18,230,TRUE,1
n is friendly alright the fortress is at 8 9 10 and its destroyed,1,1,848,10,10,400,TRUE,1
i still need to destroy the fortress,1,1,623,10,10,322,TRUE,1
focus on destroying the fortress,1,1,44,6,6,852,TRUE,1
i couldve destroyed the fortress right there but i shot too fast on the last vulnerability shot,1,1,685,3,13,279,TRUE,1
you destroyed the fortress 0 times,1,1,49,9,9,488,TRUE,1
starting to be focused on hitting the fortress,1,1,623,9,9,297,TRUE,1
umm if i dont move fast enough then the fortress will shoot me,0,0,404,1,1,41,TRUE,0
i got hit by the fortress and the mine cause like i hit 2 times mumbling sorry for moving the controller so much,0,0,804,2,12,41,TRUE,0
think thats the second time the fortress,0,0,46,3,3,354,TRUE,0
i actually 1140 uninterpretable okay destroyed the fortress,1,1,14,4,14,124,TRUE,1
got the fortress four times finally,1,1,55,9,9,962,TRUE,1
im trying to clear the fortress,1,1,3,8,8,157,TRUE,1
i think the fortress is upset with me because it cant keep up but whos laughing now,0,0,804,7,7,330,TRUE,0
you destroyed fortress two times,1,1,53,5,15,708,TRUE,1
for this game we are going to try and do originally what the goal of the game is to fly in a hexagon around the fortress periodically shooting it for some reason it has not shot at me yet,1,1,848,7,17,141,TRUE,1
and avoiding getting shot by the fortress and this mine,0,0,338,5,15,277,TRUE,0
getting too close to the fortress out of control out of control out of control,0,0,319,2,12,295,TRUE,0
im not just taking hits anytime you move just strait at the fortress youre just done for,1,0,14,9,19,377,FALSE,1
right now i am just trying to stay within the hexagon the best i can while shooting the fortress,1,1,848,6,6,327,TRUE,1
and thus shot by the fortress,0,0,848,4,4,298,TRUE,0
i need to be attempting to hit the fortress,1,1,623,9,9,316,TRUE,1
destroyed the fortress quickly,1,1,3,8,18,484,TRUE,1
and i destroyed the fortress thats good,1,1,685,9,9,205,TRUE,1
firing in quick succession at the fortress,1,1,46,9,19,237,TRUE,1
i need to watch for money signs and hit the fortress,1,1,623,9,9,303,TRUE,1
im gonna destroy the fortress one of these times,1,1,721,5,15,85,TRUE,1
if i slow my acceleration down i might be able to bring up my vulnerability score and kill the fortress before the game ends but i doubt it,1,1,44,10,20,446,TRUE,1
i didnt know the space fortress attacked me,0,0,101,1,11,45,TRUE,0
see when you ricochet off the fortress it really picks up some speed which is unfortunate because i do not struggle in that area,0,0,604,5,5,554,TRUE,0
alright so a mine just destroyed me but i am inside the fortress now traveling at a slow speed and just collected a bonus but then was then shot and destroyed by the fortress,0,0,848,4,4,292,TRUE,0
alright destroyed the fortress 1 2 3 4 5 6 7 8,1,1,372,8,18,223,TRUE,1
p i can follow the simple ones like stay in the boundary and shoot the fortress without being shot but i cant even do that well,1,1,35,10,20,155,TRUE,1
1 2 3 4 5 6 uh okay alright 106 points 1 2 3 4 5 6 7 8 9 10 10 destroyed the fortress,1,1,372,9,19,227,TRUE,1
very close too beating the fortress for the first time got 8 shots currently,1,1,848,3,13,53,TRUE,1
i can destroy the fortress now but a mine showed up,1,1,3,5,15,386,TRUE,1
money sign bonus killed the fortress,1,1,681,NA,NA,323,TRUE,1
alright so now at the hour and a half point ive pretty much developed a rhythm to be able to kill the fortress like almost immediately,1,1,681,10,20,177,TRUE,1
destroyed the fortress,1,1,372,6,16,194,TRUE,1
right now the fortress has 7 vulnerability,0,1,848,6,16,126,FALSE,1
bounce off the space fortress dude,0,0,40,2,12,11,TRUE,0
1499 ship damaged 5 times and your destroyed fortress one time,1,1,53,2,12,595,TRUE,1
destroy the fortress at least try,1,1,319,5,15,372,TRUE,1
got destroyed by the fortress,0,0,319,8,8,205,TRUE,0
alright now im gonna start shooting the fortress now,1,1,28,4,4,161,TRUE,1
shot at the fortress,1,1,55,8,18,380,TRUE,1
also shooting the fortress to destroy it at the same time the dollar sign is on the screen,1,1,848,10,20,215,TRUE,1
this fortress is serious,0,0,53,1,1,33,TRUE,0
ah man i seem to be getting too controlled with this instead of the joystick going too slow and getting hit by the fortresss attacks,0,0,404,2,12,470,TRUE,0
and at the right distance the fortress does not seem to shoot,0,0,848,10,10,393,TRUE,0
i really want to keep my vulnerability high so i can kill the fortress,1,1,52,8,8,785,TRUE,1
there you go fortress,0,0,210,7,7,104,TRUE,0
no shoot the fortress,1,1,33,2,12,73,TRUE,1
and ive taken all these fortresses,0,1,36,8,8,232,FALSE,1
its umm at the same time im trying to keep my eye on the fortress,0,0,210,1,1,10,TRUE,0
now its really the mines cause i realized the fortress doesnt really shoot like i can easily dodge like move away from its shots umm so like the mines are doing things to me now,0,0,411,7,7,106,TRUE,0
umm especially with the mine coming at you faster and youre trying to avoid the bullets from the fortress as well,0,0,685,6,6,135,TRUE,0
whats up fortress,0,0,42,5,5,192,TRUE,0
bad time i have to get the mines always trying to dodge the fortress dollar sign i need more shots so theres that and then oni,0,0,130,6,16,139,TRUE,0
i will destroy the fortress this time,1,1,818,7,7,172,TRUE,1
im starting to get in boundary a little bit better but im focusing on that more than im actually shooting the fortress,1,1,853,2,2,40,TRUE,1
vulnerability nine ten shoot the fortress and i did,1,1,3,5,15,374,TRUE,1
killed the fortress,1,1,3,8,18,481,TRUE,1
that doesnt why is it that i shoot the mine it gets me the points but then i shoot the fortress that isnt shooting the fortress but it resets the vulnerability counter,1,1,41,5,5,481,TRUE,1
oh crap i got two fortresses,0,1,36,6,6,175,FALSE,1
try to kill the fortress before another mine shows up but its not looking too well,1,1,3,10,20,537,TRUE,1
i dont like being hit by the ship just the fortress,0,0,44,8,18,340,TRUE,0
very close to destroying the fortress,1,1,319,4,4,89,TRUE,1
10 fortresses,0,1,432,8,18,79,FALSE,1
im so fixated on the fortress i havent looked at the iff counter once because i dont want my shift to get destroyed,0,0,977,3,13,21,TRUE,0
destroyed the fortress,1,1,586,3,13,204,TRUE,1
i got really close to the fortress,0,0,3,9,9,192,TRUE,0
destroy fortress,1,1,319,8,18,411,TRUE,1
have 10 so im going to try to kill the fortress,1,1,3,10,10,225,TRUE,1
i feel like its almost worth it to spend time not getting it than it is actually killing the fortress,1,1,12,6,6,554,TRUE,1
fortress,0,0,210,7,7,105,TRUE,0
mumble be that close to get shot by the fortress,0,0,361,8,18,204,TRUE,0
destroyed the fortress,1,0,372,3,13,160,FALSE,1
0 1 2 3 4 5 6 7 8 9 10 destroyed the fortress,1,1,372,9,19,229,TRUE,1
fortress is at 8 and d i believe was a yeah,1,1,848,6,16,135,TRUE,1
1 2 thats three fortresses down,1,1,825,1,11,316,TRUE,1
some nice hits on the fortress,1,1,46,9,9,562,TRUE,1
8 9 10 cool i got the bonus points and i destroyed fortress and he took 50 points away from me but whatever,1,1,685,4,14,298,TRUE,1
but then again the fortress makes the mines,0,0,804,7,7,323,TRUE,0
main focus is trying to shoot this fortress and that is a friend so i shoot,1,1,36,3,3,76,TRUE,1
can destroy fortress,1,1,319,8,18,408,TRUE,1
p fortress didnt get me that time,0,0,804,9,9,376,TRUE,0
havent hit the fortress yet,1,1,804,2,2,256,TRUE,1
it seems that for every time i destroy the fortress it destroys me right after,1,1,586,4,14,218,TRUE,1
ship was destroyed 12 times by the fortress,0,0,155,6,16,114,TRUE,0
i dont find myself caring about the hexagon anymore just focusing on the fortress,0,0,432,3,3,158,TRUE,0
fortress dont shoot me let me shoot you,1,1,537,8,18,159,TRUE,1
i got the fortress finally,1,0,685,3,3,53,FALSE,1
thats weird i didnt notice the fortress was spinning within the octagon or hexagon whatever,0,0,211,5,5,69,TRUE,0
really starting to focus on destroying the stupid fortress,1,1,14,1,11,13,TRUE,1
flying into the fortress is not the plan but it is what i am doing so you know its something till you die,1,0,604,3,3,469,FALSE,0
i hate this fortress,0,0,113,5,15,158,TRUE,0
ran into the fortress,0,0,3,9,19,512,TRUE,0
destroyed the fortress,1,1,3,5,15,381,TRUE,1
alright the fortress already has 2 hits and the dollar sign but unfortunately a punctuation mark happened or a question mark,0,0,848,3,3,281,TRUE,0
and thats the thing with the fortress we need more shots at least 10 to even but by the time i even hit the third shot im like way off the hexagon,1,0,679,10,10,199,FALSE,1
i need to hit the fortress 10 times,1,1,623,2,2,158,TRUE,1
i ran into the fortress and died,0,0,3,8,8,154,TRUE,0
like the fortress and the mines are the main things i have been paying attention to,0,0,211,3,13,180,TRUE,0
hmm not into the fortress but away from the fortress,0,0,604,1,1,399,TRUE,0
got the fortress again,1,1,681,2,2,225,TRUE,1
vulnerability of the fortress is now at 4 trying to stay within the confines of the hexagon,1,1,848,8,8,358,TRUE,1
p stop bumping into the fortress,0,0,50,8,8,87,TRUE,0
i shot the fortress im at 4 back to 0,1,1,19,6,6,130,TRUE,1
j friendly p friendly money sign money sign bonus killed the fortress,1,0,681,4,14,77,FALSE,1
so i guess my strategy is to just go around it and shoot at the fortress and make it go as slow as i can,1,1,211,2,2,31,TRUE,1
fortress ill get you next time fortress,1,1,41,2,2,394,TRUE,1
p uh wasnt the isnt the fortress supposed to like explode or anything,0,1,586,1,11,173,FALSE,1
this time also i am able to travel with that clockwise position around the fortress,0,0,848,4,4,293,TRUE,0
the fortress has 7 vulnerability points now,1,1,848,3,3,282,TRUE,1
but im being nailed by the enemy fortress,0,0,404,2,2,58,TRUE,0
i think you have to touch the yellow fortress not just the green part,0,0,57,10,20,690,TRUE,0
the fortress is currently at 8 for vulnerability 9 now 10 and was destroyed,1,1,848,10,20,209,TRUE,1
i think i may kill a fortress this time now im getting the hang of it,1,1,818,3,3,40,TRUE,1
p oh it doesnt show me for the space fortress,0,0,908,7,17,74,TRUE,0
so destroyed the fortress 0 times,1,1,679,2,12,238,TRUE,1
now if only i could get to 10 i could destroy the fortress,1,1,804,1,11,15,TRUE,1
p okay well this one is going better i think im just trying to focus on not getting hit and killing the fortress because every time i get close to killing the fortress i get killed and have to start over,1,1,348,9,9,179,TRUE,1
well i actually destroyed a fortress once so im getting somewhere,1,1,411,7,7,109,TRUE,1
the fortress is now at 5 vulnerability 6 vulnerability 7 8 9 10 10 and was able to be destroyed,1,1,848,8,8,355,TRUE,1
p itd be nice if i got hit by the fortress itd slow me down but no i stay at the same velocity,0,0,121,4,4,37,TRUE,0
i can just keep this going so what im doing now is just sliding on the screen taking advantage of the little to no friction on the ground and then it appears the fortress cannot shoot me,0,0,848,2,12,27,TRUE,0
its also really easy to get shot in this game considering how fast the fortress moves in comparison to you,0,0,338,2,12,238,TRUE,0
shot the fortress,1,1,3,6,16,426,TRUE,1
uhh i feel like i just wanna spam shots at the fortress but it really doesnt work that way if i remember correctly,1,1,12,1,1,354,TRUE,1
fortress took me out,0,0,681,3,13,57,TRUE,0
i think the best strategy ive figured out is just let it thrust one way and then just float and try not to get hit while you shoot the fortress,1,1,685,2,2,34,TRUE,1
okay first fortress destroyed first try first game,1,1,818,1,11,291,TRUE,1
im already negative a thousand points so i shouldve gotten the shots because im only doing thirty seven and i know its not likely but i need the shots to kill the fortress and the mines and back down to zero,1,1,20,6,16,130,TRUE,1
i think that was my second fortress killed on this map,1,1,36,4,14,459,TRUE,1
when youre spinning around the fortress currently trying to attack the fortress unfortunately it has been hitting me with a lot of shots this game,1,1,848,4,4,295,TRUE,1
i just feel like better ship control will lead to a higher score because just trying to memorize the minutia of the mines and the rules isnt really going to help my score and i know i cant really shoot at the fortress while the mines are onscreen and that will be an issue,1,1,44,2,12,34,TRUE,1
then again it wouldnt be much of a fortress,0,0,53,2,2,77,TRUE,0
more control i get over it the slower i move it and what ends up happening is i get hit by the enemy fortress,0,0,404,4,4,144,TRUE,0
little pitch fortress,0,0,790,10,10,354,TRUE,0
i have theshoot the fortress,1,1,3,7,17,441,TRUE,1
focus on shooting the fortress and staying inside the hexagon right now,1,1,300,7,17,157,TRUE,1
ah that was very close 10 vulnerability so i was about to destroy the fortress,1,1,853,4,4,99,TRUE,1
p im getting better still havent defeated the fortress but am getting better,1,1,155,7,17,134,TRUE,1
fortress,0,0,55,9,9,959,TRUE,0
so focused with destroyed the fortress i forget about the bonuses,1,1,809,4,14,57,TRUE,1
they only start off by getting shot by the fortress,0,0,6,3,3,32,TRUE,0
trying to focus on the fortress not the mines since theyre distracting at the moment,0,1,300,6,16,134,FALSE,1
p trying to avoid getting shot at by the fortress,0,0,586,6,6,96,TRUE,0
shot the fortress,1,1,3,2,12,296,TRUE,1
mumbles youre a horrible fortress,0,0,113,6,6,438,TRUE,0
uh destroyed the fortress but i forgot to collect,1,1,3,8,18,471,TRUE,1
go towards the fortress,0,0,44,7,7,954,TRUE,0
got the fortress again,1,1,46,3,3,363,TRUE,1
or fortresses thats death hello death,0,0,825,1,11,314,TRUE,0
okay uh ill try shooting the fortress,1,1,3,3,3,58,TRUE,1
there was just the first dollar sign but that was im still circling the fortress trying to get the best shot without getting hit,1,1,848,7,17,151,TRUE,1
p well i still havent been able to shoot the fortress,1,1,4,3,13,28,TRUE,1
i got the bonus of the missiles because i think im not getting the fortress almost at all im not getting enough points,0,1,853,1,1,24,FALSE,1
i should just focus like regardless of if i even get hit by the fortress because its not doing me any good by having the mine,0,0,679,9,9,184,TRUE,0
i got hit by the fortress 13 times,0,0,12,3,13,109,TRUE,0
gotta work on the screen wrap though and the fortress hitting me,0,0,404,3,13,510,TRUE,0
hey i destroyed the fortress,1,1,14,2,12,63,TRUE,1
i have the tendency to keep shooting at the fortress knowing that the,1,1,679,3,13,250,TRUE,1
its such a cute lil fortress,0,0,537,8,8,330,TRUE,0
but collected a few points for shooting the fortress 7 times,1,1,848,9,9,369,TRUE,1
fire i need to fire at the fortress w,1,1,55,3,13,99,TRUE,1
oh dang well i destroyed the fortress but i didnt get the bonus in time before i destroyed it,1,1,685,1,11,238,TRUE,1
oh i can shot at that i can shot at that i can shot at that then shoot at fortress,1,1,52,7,7,735,TRUE,1
its just im like i cant fly right and then the fortress and the mines are like they dont care you know,0,0,214,3,3,307,TRUE,0
i destroyed whatever it is fortress,1,0,42,2,12,436,FALSE,1
the fortress was destroyed,1,1,848,10,10,396,TRUE,1
i think i only destroyed the fortress once in this whole thing,1,1,721,6,6,306,TRUE,1
killed fortress,1,1,3,5,15,396,TRUE,1
at least im avoiding the the hits from the fortress,0,0,679,4,4,107,TRUE,0
and there is an m mine which is friendly so hopefully and i was hit again by the fortress when its vulnerability was at 7 but i was unable to destroy this time,1,1,848,8,18,170,TRUE,1
p im waiting for the mine to appear so i can attempt to shoot it before i go to the fortress,0,1,45,1,1,8,FALSE,1
uninterpretable stay fast enough to not get hit by the space fortress,0,0,6,8,8,126,TRUE,0
p so does the ship repair damage when i destroy fortress,1,1,432,6,6,182,TRUE,1
i was trying to get my vulnerability score up but it was not working cuz i was about to get destroyed and i cant shoot the fortress now because the mine is on screen,1,1,44,7,17,269,TRUE,1
trying to get out of the way of the shooting there was just 2 dollar signs i was able to pick up the bonus but was right after shot by the whats it called fortress,0,0,848,3,3,286,TRUE,0
alright here we go second fortress destroyed of the day,1,1,818,3,13,371,TRUE,1
okay so i attacked the fortress but i dont understand why i got so many negative points in that in the other game you know what im talking about,0,1,101,3,3,391,FALSE,1
destroyed the fortress 2 times,1,1,51,3,13,633,TRUE,1
vulnerability is at nine ten friendly mine showed up destroyed the fortress,1,1,3,7,17,454,TRUE,1
got the fortress,1,1,36,7,7,186,TRUE,1
thats the other space fortress,0,0,130,2,2,253,TRUE,0
will i ever defeat this fortress,1,1,53,5,5,233,TRUE,1
rotating to the right i keep focusing on the fortress,0,1,300,6,16,132,FALSE,1
you can only focus on one thing either destroying the mine or the fortress and then theres things shooting at you and then you have to think about not going into hyperdrive or hyperspace and the points and i dont even look at the points at times,1,1,53,7,7,310,TRUE,1
im getting the fortress a lot easier than i was before,1,1,853,2,12,332,TRUE,1
cool i was able to destroy a mine that was a foe mine i was able to destroy it and destroy the fortress,1,1,848,7,7,342,TRUE,1
i did get hit by the fortress so i lost the mine,0,0,3,6,16,406,TRUE,0
shoot at the fortress,1,1,52,4,4,597,TRUE,1
p i keep forgetting that it doesnt even matter shooting the fortress when the mines are there because it does nothing,1,1,2,3,13,52,TRUE,1
sometimes when youre moving no sense of navigating and just stay on a steady axis shooting at the fortress,1,1,977,2,2,87,TRUE,1
p oh yeah i never destroyed the fortress,1,1,689,3,3,20,TRUE,1
p i think this is a good speed not quick enough not slow enough for the fortress to kill me,0,0,35,7,7,227,TRUE,0
took a direct hit from the mine and another hit from the fortress,0,0,586,7,7,113,TRUE,0
got the fortress,1,1,46,10,10,630,TRUE,1
so my biggest concern is with the fortress,0,0,34,5,5,266,TRUE,0
destroying the fortress,1,1,569,5,15,63,TRUE,1
i need to be closer apparently you cant shoot from hyperspace in order to hit the fortress,1,0,586,5,5,81,FALSE,1
ah okay so im getting the mines right and this fortress is gonna go one way or another,0,0,804,3,13,67,TRUE,0
broke the fortress finally,1,1,42,2,12,421,TRUE,1
my fortress will never be taken down,1,1,101,4,14,186,TRUE,1
and fortress down,1,1,14,4,4,593,TRUE,1
i feel like for this first one i just need to focus on trying to control my ship instead of actually destroying the fortress because goodness it definitely gives a different tactile feel to this whole thing,1,1,44,1,1,460,TRUE,1
i have six on the fortress,1,1,3,10,10,217,TRUE,1
oh i just hurt the fortress,1,1,42,5,5,171,TRUE,1
fired at the fortress once,1,1,55,10,20,476,TRUE,1
oh yeah i forgot that the uh you shoot your friendlies and they do damage to the actual fortress,1,1,36,3,3,70,TRUE,1
when it says cause theres one part where it says destroyed and one says damaged so when the fortress is throwing out missiles isnt that the same,0,0,679,7,7,161,TRUE,0
oh i can shoot at that thing and then at the fortress,1,1,52,7,7,744,TRUE,1
i just wanna kill one fortress,1,1,36,5,5,139,TRUE,1
if i focus on trying to steer the fortress then try to implement the bonus and mines once i get the hang of this,0,0,432,2,2,143,TRUE,0
ok ill try to destroy the fortress 3 times now,1,1,404,8,18,676,TRUE,1
anyway the fortress is killing me,0,0,537,5,15,85,TRUE,0
didnt destroy the fortress but thats positive,1,1,34,9,9,443,TRUE,1
im like hitting the main fortress i dont think mumbles also i think im like turning the wrong direction,1,1,445,1,11,27,TRUE,1
i was hit by the fortress a lot that time,0,0,12,8,8,639,TRUE,0
if you go super slow you make yourself vulnerable to the fortress and the mines,0,0,12,1,1,366,TRUE,0
got the fortress,1,1,46,5,5,433,TRUE,1
trying to avoid the mine and destroy the fortress at the same time but maintaining a balance of control paying attention to the iff value,1,1,44,4,14,74,TRUE,1
i need to hit the fortress,1,1,623,6,6,240,TRUE,1
fired at the fortress,1,1,46,7,7,492,TRUE,1
and now the fortresss vulnerability is up to two and theres a dollar sign,1,1,20,9,19,266,TRUE,1
i was so close to destroying to fortress,1,1,929,3,13,167,TRUE,1
p it seems like purposely running into the fortress can be a good idea because then you dont run out of bounds,0,0,513,4,14,47,TRUE,0
