statementClean,cRelevant,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber
three i see the dollar sign i see the y thats a good mine four velocity four vulnerability points,0,41,1,1,382
so oh it left,0,57,4,4,975
control,0,29,8,8,557
i like how they define the bounds how when you hit it out bounce right off,0,214,4,4,336
slow down,0,12,2,2,410
alright,0,28,7,7,284
try to slow down,0,46,9,9,569
turn turn turn back the other way,0,127,1,1,200
getting it under control is the hardest thing,0,211,2,2,32
okay gained some control there we go,0,818,6,6,129
unfortunately it went out of control again,0,848,2,2,249
it goes half forward half left,0,57,3,3,918
turn,0,56,2,2,26
ok thats off to a bad start already slow it down,0,468,7,7,146
so forward,0,57,2,2,804
its a foe no too slow,0,34,1,1,43
mumbles alright im just trying to control whats going on im just all over,0,190,10,10,227
ah ok no but i get slower so i can usually avoid enemy mines,0,404,4,4,170
alright,0,29,2,2,365
this is harder to control,0,38,1,1,161
right oh lord,0,24,1,1,17
i cant hit the fortress but i have one shot left come on,0,685,7,7,149
but i also that i controlling this properly,0,54,5,5,394
i mean im always in hyperspace anyway,0,53,8,8,367
shooting at it too fast,0,14,10,10,841
control the ship,0,454,6,6,209
okay gonna go a lot slower,0,24,2,2,52
alright 6 7 alright,0,647,10,10,248
p thats a lot harder than i thought it would be i didnt think it would be that sensitive to the touch and everything and your first instinct is to back thrust and you cant do that though to slow down or anything so,0,685,1,1,22
slow down,0,51,4,4,96
umm especially with the mine coming at you faster and youre trying to avoid the bullets from the fortress as well,0,685,6,6,135
okay alright,0,454,1,1,127
its must easier to just circle it,0,12,10,10,677
alright,0,454,6,6,215
so slowly moving to okay nothing now,0,14,1,1,482
aright,0,16,8,8,650
alright im just gonna circle around the horizon,0,16,9,9,723
points are at 800 somethings but control and velocity are in the high positives,0,848,9,9,386
p alright,0,51,8,8,297
no were off into hyperspace,0,818,4,4,81
go you got move,0,51,10,10,462
why cant i circle this shit,0,16,3,3,215
alright thats one dollar sign,0,16,7,7,584
i dont like going into hyperspace but sometimes hyperspace is the only way you can get away,0,804,8,8,372
then the next one comes moves way too easily,0,34,6,6,292
okay so right now the enemy mine is chasing i cant even turn around to shoot cause its so hard,0,130,3,3,275
turn man come on,0,127,4,4,236
alright this is a lot harder than i thought it would be,0,28,1,1,45
turn turn turn,0,127,4,4,235
so i guess my strategy is to just go around it and shoot at the fortress and make it go as slow as i can,0,211,2,2,31
no no no turn,0,818,9,9,232
im going too fast im out of control but we can fix that,0,319,9,9,215
i shot too fast to reset the vulnerability counter,0,12,4,4,477
alright,0,16,8,8,651
alright,0,400,1,1,105
negative 813 ship was damaged 13 times i was damaged twice by the mines and i screen warped 28 times,0,825,3,3,124
p oh alright,0,404,1,1,18
alright this is a good strategy for me here i might not get a lot of points but i might actually,0,404,7,7,266
damn alright friend,0,473,8,8,319
that was off real off oops back to the optimal method of losing control of my ship,0,818,5,5,83
got the bonus right just gotta shoot it,0,404,4,4,152
did not react fast enough,0,12,6,6,545
alright,0,16,1,1,40
alright,0,28,2,2,88
i need to slow down,0,53,8,8,388
going off screen you need to control your speed,0,51,6,6,178
p stop bumping into the fortress,0,50,8,8,87
alright oh n is enemy they move very fast by the time i look down and register hes almost on top of me,0,404,6,6,219
using the joystick with my left hand,0,53,4,4,162
avoid getting shot trying to go a little slower,0,24,1,1,19
umm if i dont move fast enough then the fortress will shoot me,0,404,1,1,41
alright i think i clicked it too rapidly and now this thing is coming to kill me,0,558,5,5,34
you didnt wanna pull back and slow down,0,647,3,3,174
i ran into that one like i completely lost control,0,825,6,6,185
i was like i knew controlling the ship was going to be pretty difficult but i didnt realize that everything was going to be so fast paced,0,404,4,4,126
alright,0,20,6,6,601
so youre kinda just not playing with any direction literally and figuratively because controlling it is hard as hell,0,977,9,9,112
just a little push and it goes really fast,0,54,2,2,326
go right go straight,0,20,6,6,603
just starting flying away,0,113,7,7,467
there okay now i can move,0,16,2,2,135
all right here we go,0,55,2,2,599
its very instinctual to press the key as fast as you can and thats not what youre supposed to do,0,12,4,4,498
alright this is the last game i gotta do a lot better than ive been doing,0,685,10,10,213
all right,0,55,4,4,732
p i dont see how anybody can fly this thing clockwise around this thing,0,127,6,6,251
slow down slow down,0,53,5,5,208
i kinda feel like in an intense situation like that you have to act quicker but if its gonna get out of control,0,647,10,10,247
p oh friend or foe mouse right counterclockwise got it,0,53,2,2,39
i was right,0,57,8,8,1315
two personal space,0,53,6,6,266
slow down,0,53,7,7,339
flying all over the place,0,190,1,1,143
control was significantly worse,0,3,4,4,75
slowly,0,300,1,1,236
alright come on,0,127,6,6,256
there and zs out 6 7 8 9 losing control losing control 10 oh,0,825,6,6,189
keep control of the ship,0,454,2,2,157
this isnt space physics surprisingly im not that low on points,0,41,2,2,400
nah thats just cuz im clicking too fast,0,30,9,9,509
going in a circle is another thing,0,468,6,6,115
alright im going to try this again,0,20,9,9,734
it moves differently sometimes,0,211,2,2,21
p its kind of hard to control the iff its friendly so,0,50,1,1,7
p the right hand on the mouse,0,57,4,4,985
so now im consistently shooting the fortress being able to kill it getting used to the ships control more getting used to flying around in a frictionless environment and compensating on the turns,0,681,1,1,218
oop the screen went black,0,411,1,1,14
mumbling turn around turn around go go go straight there,0,210,5,5,64
slow it down,0,454,7,7,223
not moving at all ok,0,569,1,1,151
still not able to control the speed quite too well for the turning,0,848,2,2,258
alright its a mine,0,24,1,1,23
alright,0,28,9,9,371
the control is a little loose,0,210,1,1,4
alright so,0,568,1,1,8
stop on screen,0,51,8,8,316
okay so this is definitely the best flight pattern,0,12,8,8,613
p mouse left,0,51,5,5,126
once it starts going fast its really hard to,0,404,10,10,380
now if i kind of go around the edge of the screen its a lot easier and a lot more time umm im still worried about points,0,404,5,5,186
turn and i died,0,28,6,6,278
alright straight right,0,20,7,7,680
if i could slow down enough to stqay in the thing,0,569,5,5,192
forward,0,51,8,8,339
ill just fly around until theres another bonus,0,3,7,7,144
alright 25 shots,0,685,10,10,224
all right so thatll take like forever to get used to i guess,0,12,1,1,345
i need to slow down bad,0,52,5,5,667
uzn right click in the interval,0,52,7,7,724
okay go forward do that,0,818,2,2,29
p just space button,0,404,1,1,46
p yeah do i press space bar,0,568,1,1,29
yea thats right,0,53,7,7,295
im flying in circles a bunch,0,468,6,6,120
alright here we go,0,28,8,8,365
p um alright,0,3,1,1,3
go forward,0,55,1,1,547
now turn this way,0,51,9,9,346
still dint move fast enough,0,12,3,3,445
alright that one mumbles,0,190,9,9,220
going slowly across,0,300,4,4,305
im just going in and out of warp zone right now,0,404,3,3,91
fly up,0,30,10,10,528
come on go forward a little bit,0,14,4,4,619
rotating slowly,0,300,4,4,312
mumbles okay stop killing me,0,113,6,6,433
alright ill try to at least destroy the fortress at least once if i hit it,0,804,4,4,272
p alright i hit it,0,404,5,5,185
i keep going in circles,0,468,6,6,132
so turn,0,57,1,1,733
it looks like a fly,0,57,6,6,1168
finally stopped getting hit immediately,0,24,2,2,68
p gotta slow down gotta slow down thats foe,0,50,8,8,96
turn and oh dead,0,28,3,3,143
alright,0,28,2,2,102
trying to regain control,0,319,5,5,121
alright thats one dollar sign thats one dollar sign,0,16,3,3,199
alright this is pretty crazy,0,190,2,2,153
try to do a fly by,0,818,6,6,146
okay slow down and aim and fire,0,28,4,4,178
dr right click,0,52,5,5,665
what left,0,51,10,10,398
i wanna get a positive one in this i cant really see theres the second one fik dodging the mines is hard i cant go counterclockwise e thats fine 7 vulnerability 8,0,130,9,9,385
p alright,0,804,10,10,397
and the other is where youre moving and its so hard to do it with just one hand,0,214,1,1,252
face forward,0,57,1,1,734
oh had to turn around,0,647,4,4,188
get back in control,0,319,10,10,257
alright im only going to shoot why i know thats a friend so bang bang,0,20,10,10,803
oh i flew right into you i tried,0,113,5,5,419
hit space to pause the game,0,57,7,7,1255
okay perfect its missing me so im doing good right now,0,34,10,10,478
nope nope slow down no slow the f come on man,0,16,10,10,808
alright thats a foe,0,473,7,7,299
i keep going into hyperspace though,0,34,2,2,73
now i gotta remember to look down at the bottom of the screen,0,568,2,2,39
okay alright were gonna go the optimal path now,0,818,3,3,43
crush him right,0,300,2,2,264
p supposed to stay inside this hexagon,0,50,3,3,28
trying to get out of the way of the shooting there was just 2 dollar signs i was able to pick up the bonus but was right after shot by the whats it called fortress,0,848,3,3,286
p alright i got one more shot,0,16,10,10,754
turn turn,0,57,1,1,770
please slow down,0,825,4,4,144
i just want you to slow down,0,300,3,3,290
too fast slow down again,0,300,1,1,247
i only got 8 shots left,0,49,6,6,387
in the hexagon in the hexagon,0,28,1,1,41
p but i feel like im starting to get the hang of it a little bit except that the joystick is very sensitive so i keep flying all over the place,0,45,1,1,7
p alright zmr are the foe mines,0,372,6,6,72
mub right click oh,0,52,1,1,461
forward,0,57,2,2,808
come on get that control up there we go,0,454,3,3,168
umm its still i think the hardest thing is identifying the bonuses cuz you have so much on the screen,0,685,7,7,159
turn and thrust and then turn and then thrust,0,53,10,10,472
umm i still have to get used to how sensitive the controller er the joystick is,0,468,2,2,26
lets gentle movements and see if that can actually help me,0,52,1,1,462
stop,0,57,1,1,738
alright that is a c so that is a friendly,0,910,2,2,42
p its hard to move,0,211,2,2,19
slow the fword okay,0,16,8,8,617
too fast in every direction,0,14,2,2,510
im flying counter clockwise im trying to,0,372,1,1,9
i just wish i could use my right hand,0,53,2,2,60
straight right straight right and left left straight oh ok straight make a right go back go straight alright come on,0,20,7,7,661
slowly rotate,0,300,1,1,254
p  alright,0,319,4,4,92
yeah x i dont know what you are so im just  going to fly away yay,0,113,7,7,464
you can only apply thrust when going forward if this game was a game i was playing in the past i would assume when going left then go right youd go right but you want you have to go right then straight which is like odd,0,977,2,2,84
i dont know if i shot him or it hit me  something happened ah stop,0,113,3,3,380
p slow down,0,50,4,4,46
alright,0,739,10,10,106
its like moving it,0,57,4,4,990
alright,0,190,2,2,154
actually staying in the control zone more than i thought it would,0,404,8,8,322
nice double tap slow down,0,910,8,8,191
oops see now im completely out of control,0,319,2,2,31
alright destroyed,0,33,1,1,421
alright this is way more,0,825,1,1,4
p like if youre flying close or risking to take a good shot or a bad shot knowing you can take the hit,0,977,9,9,111
i just realized that i have 15 shots alright then,0,558,8,8,62
l alright you my dog,0,16,8,8,641
dont know if thats right,0,3,10,10,219
p no no i wish i did i just gotta get a hold of the controls for the most part i was actually like spinning around inside the hexagon a little bit but it was just that those mines really like got me scared a little bit and i just like lost control and like ok how do i get this back,0,568,2,2,58
please stop do,0,57,9,9,1371
slow down a little,0,685,8,8,172
need to slow down,0,28,8,8,343
alright imma just work like this,0,16,3,3,233
right heres another thing that im supposed to get but i think that was the first one but im honestly not paying attention to that,0,47,1,1,7
alright there we go,0,214,2,2,274
i think im keeping that thats an enemy oh the interval is too fast my interval keeps im probably thinking too much,0,130,3,3,272
p alright omv omv omv omv omv,0,910,2,2,27
do i just press spacebar to continue,0,30,1,1,53
but now i am going way too fast again,0,848,2,2,244
p alright,0,568,2,2,35
going a little too fast but ill go with it,0,46,8,8,528
alright get out that shit,0,16,10,10,820
and turn,0,57,2,2,838
ummmmm i just dont wanna go as fast,0,57,1,1,727
im going too slow,0,16,2,2,126
p yeah like between right there and where you spawn,0,211,4,4,50
alright still getting killed by the enemy mines all the time they come on the screen pretty fast so i have to look immediately down,0,681,2,2,231
like the immediate access you have the illusion you have of moving the joystick there was like a split second of thought that went before,0,977,1,1,80
alright i think this is try number 6 or 7,0,49,7,7,439
yeah this is not very much because im having to use my left hand this is not very much of a competition i dont think,0,127,2,2,205
oh there was a mine on the screen,0,432,5,5,176
alright lets do this,0,319,8,8,192
turn turn turn,0,127,10,10,285
p oh man i was only 4000 points alright,0,558,1,1,7
alright come on,0,51,4,4,112
turn around,0,57,7,7,1205
and then i really wish you could slow down any other way,0,12,2,2,405
im not even worrying about the mines right now because im still trying to get the hang of the controls so im just focusing on killing fortress so once i get that down i can start to work on the mines,0,681,1,1,212
circles,0,26,7,7,117
bonus left,0,27,6,6,111
no that was too fast,0,33,5,5,612
to the left too much,0,300,3,3,287
it seems that if i just flick it the smallest amount it goes the velocity the game requires and that the fortress is unable to hit me and i am still able to turn and make shots okay,0,848,2,2,243
yup turn then move,0,16,6,6,446
i mean being able to control this thing is just,0,127,6,6,252
p uninterpretable 410 alright so i press continue,0,16,1,1,87
n is friendly alright the fortress is at 8 9 10 and its destroyed,0,848,10,10,400
since whenever you move in ac ertain direction you keep moving in that direction,0,12,5,5,522
turn shoot turn shoot turn shoot turn shoot turn,0,113,3,3,374
if i turn the opposite way,0,57,1,1,740
3644 smaller and smaller but yea i have a new appreciation for keyboard controls,0,155,6,6,262
not many people unintelligible feel like my biggest issue is controlling the ship since the ship doesnt stop at all,0,804,5,5,291
mub ok i need to turn that into,0,52,1,1,449
im also getting better at unconsciously flying around and shooting this thing in the middle,0,681,4,4,259
thats a good speed thats to fast thats to fast,0,52,2,2,498
second money sign 1 2 3 4 5 6 s thats a good mine 7 8 im in my no no no no no i was doing so well stop,0,41,2,2,396
its at one time right now oh it ok,0,20,2,2,460
slow down,0,28,1,1,25
then again youre in space,0,647,3,3,175
oh no is it too fast,0,34,5,5,229
i think im out of control here,0,468,7,7,158
alright bonus points left missiles,0,16,1,1,4
okay well velocity isnt doing too bad just the points right now which is,0,34,7,7,351
rotate again,0,300,2,2,265
go forward,0,20,8,8,723
i didnt mean to shoot when i moved,0,14,2,2,519
b alright you my friend,0,16,2,2,144
move,0,28,6,6,279
i keep forgetting when i need to go backward it doesnt do that,0,54,1,1,316
i gotta stop missing,0,24,5,5,119
need to slow down,0,52,3,3,539
p alright there we go,0,155,8,8,275
i cant fly this thing,0,127,3,3,225
forward,0,57,7,7,1235
i am trying to navigate but nothing is working and im just flying around without oh there we go,0,20,1,1,396
i cant even stay in the circle,0,20,1,1,391
so dont go too fast stay in the lines theres a dollar sign it disappeared,0,468,6,6,104
alright,0,558,4,4,28
okay there we go alright lets go,0,685,5,5,111
no why dont you turn,0,210,7,7,94
alright i am at 11 and i dont think i know exactly what to do there we go,0,558,10,10,71
alright and were just gonna keep following the train,0,818,6,6,137
it doesnt really go forward,0,57,3,3,917
i keep going into hyperspace so that not good losing points,0,34,1,1,39
turn turn turn,0,127,5,5,249
going slower but thats like the first hit,0,46,8,8,537
forward,0,57,2,2,806
p kyx no stop stop flying,0,210,4,4,39
moving too fast,0,14,6,6,699
alright,0,454,7,7,224
the control on this,0,454,1,1,125
turn,0,57,7,7,1207
got the mine alright just keep this speed nope nope nope ill get the hang of this in a couple of more games,0,818,4,4,67
okay wow were at 7 right now,0,34,5,5,252
ok so im definitely not in control right now,0,468,3,3,37
alright thats maybe slightly worse mumble,0,468,3,3,43
okay alright that was rude,0,113,1,1,322
p so i have a little better understanding of what is going on because i actually just realized that i am supposed to like the ship turns and i boost it its not actually moving in the direction if that makes any sense at all,0,558,2,2,9
alright come on come here,0,16,8,8,645
okay alright got some points,0,30,2,2,105
p its more harder if you try to stay inside the hexagon,0,658,5,5,39
alright q,0,16,4,4,300
my control has been good,0,825,10,10,299
in hyperspace,0,24,1,1,29
alright thats a friend,0,473,7,7,297
so its probably better to just move around,0,54,6,6,405
okay stay within the lines mumble hyperspace,0,804,10,10,419
okay alright im just going to keep doing this its going to work,0,113,10,10,528
alright,0,319,5,5,112
im stillwow mumbles a lot here i cant keep flying around like this,0,214,6,6,368
alright so instructions,0,16,4,4,265
keep going into hyperspace,0,804,5,5,287
move toward it,0,300,9,9,405
i lost control,0,818,5,5,117
out of control,0,319,5,5,131
quails stop x rays,0,53,10,10,465
p aright,0,54,1,1,298
and we are spinning out of control,0,848,7,7,337
no hyperspace,0,818,6,6,145
forward,0,300,1,1,246
inaudible okay one life left per game,0,27,2,2,31
this is just alright this is just how imma do it,0,16,3,3,239
going too fast but i missed the first missile and i slowed it down,0,46,9,9,558
now i am spinning out of control but the mine is friendly unfortunately i just ran into it and did not get any points,0,848,3,3,273
1 alright mumbles alright 3 on the vulnerability counter,0,372,7,7,86
im just gonna move like this nope that aint gonna work,0,16,9,9,728
going too fast again,0,46,8,8,535
move forward,0,57,1,1,752
alright come on,0,16,9,9,716
so now we need like more bullets cause im missing a lot of these bullets moving around too much a d so an enemy mine however i cant really shoot it bonus should use it for missiles,0,130,6,6,329
like i have to be between the hexagons to actually shoot it,0,57,8,8,1340
try to do a fly by,0,818,6,6,147
yeah moving slower on this is much easier,0,400,2,2,114
im still completely out of control,0,468,4,4,61
nope thats not slow,0,33,4,4,585
slowly slowly,0,14,1,1,454
slowly,0,28,4,4,174
ship doesnt slow down at all,0,804,1,1,240
alright,0,214,7,7,375
now its really the mines cause i realized the fortress doesnt really shoot like i can easily dodge like move away from its shots umm so like the mines are doing things to me now,0,411,7,7,106
come on move forward move forward,0,55,10,10,1016
i can like just mmm mumbles alright stop moving,0,568,2,2,49
i always hate this  all right that didnt work,0,804,5,5,283
p that is a friendly mine obviously out of control ok,0,404,5,5,190
did not wanna do that now im just flying straight at the fort,0,14,3,3,553
whatever im gonna okay i dont care if i go out of bounds,0,16,1,1,58
technically i risk being stuck in a bad movement,0,400,10,10,141
come on turn and shoot turn and shoot turn and shoot,0,16,8,8,643
thats y thatll be stuff staying inside the hexagon finally,0,130,7,7,355
okay alright oh i didnt see you,0,113,5,5,423
oh i tried to slow down by pressing the stick backwards,0,411,6,6,91
alright,0,16,3,3,212
forward,0,57,2,2,792
4 clockwise,0,52,1,1,427
it only goes forward right and left,0,54,1,1,312
there alright thats one,0,16,4,4,309
p alright closer to zero,0,16,3,3,255
p so the controls here basically,0,38,1,1,148
control the ship,0,454,5,5,190
right click in the interval,0,52,7,7,740
let me try to slow down,0,3,7,7,135
it takes a lot of control like i know if my brother were to try this he would be very like frantic and that wouldnt be like that would be difficult like hes,0,825,5,5,161
second one nice 40 shots left,0,130,2,2,257
i need to slow down,0,53,4,4,192
very small movements nothing crazy you dont need to do much,0,41,9,9,592
im actually at negative points right now,0,568,1,1,19
but if i move too fast ill lose control,0,404,1,1,42
alright,0,53,7,7,303
the tiniest movement wow wow wow,0,214,1,1,259
alright come on i got the turn game now,0,16,5,5,381
fly up fly up fly up fly up,0,30,10,10,522
shes seen me play basketball with my left hand,0,127,1,1,192
yeah definitely going too fast,0,468,3,3,41
the interval is 2 right now ah theres a mine its a friendly mine so its ok,0,404,3,3,89
going a little too fast i gotta compensate,0,681,2,2,228
thats the other space fortress,0,130,2,2,253
turn around turn around shoot it shoot,0,113,2,2,342
cant control this thing alright im moving in the right direction oh wow okay good,0,214,4,4,323
my left hand cant respond to nothin,0,16,4,4,293
alright two hand is not working so back to one,0,20,7,7,644
all right,0,57,2,2,844
so were at 6 right now 7 8 9 10 11 12 okay that was one dollar sign,0,14,7,7,725
stay on the screen,0,569,8,8,225
and for this game i will try to go as slow as possible which right out of the bat already is not happening,0,848,3,3,268
alright,0,825,7,7,213
come on turn around turn,0,127,5,5,246
alright umm no no no okay just gotta ive still yet to get any bonus points or anything,0,685,1,1,19
p oh ok sorry i was like super into this right now,0,190,8,8,212
turn turn,0,210,4,4,46
thats not the alright,0,28,1,1,50
oh get back on the screen,0,739,5,5,53
thats the hardest part honestly im just trying to control the thing umm and not go into warp speed gonna try to shoot a little bit,0,404,2,2,61
stop,0,411,6,6,93
oh this is even faster this is not good okay i think im worried,0,130,1,1,227
p im gonna stay in this hexagon,0,50,9,9,112
getting out of control,0,319,4,4,100
alright,0,404,2,2,72
going slowly,0,46,7,7,483
didnt get hit right away,0,804,7,7,313
yeah go forward,0,28,3,3,140
going into hyperspace,0,468,9,9,198
just trying to get a slow kinda like slide past the tower,0,24,4,4,96
oh alright so the hardest thing is not making any huge movements,0,319,2,2,19
thats a bracket lost all controls,0,14,5,5,636
slow down,0,51,10,10,402
slow down,0,51,7,7,256
i feel like going slow works the best,0,739,3,3,35
forward,0,57,3,3,914
turn,0,56,1,1,12
one personal space,0,53,6,6,256
im trying to turn,0,33,4,4,571
p cant go too fast,0,432,4,4,163
alright just coast,0,818,4,4,72
once you go a little too fast its almost impossible,0,12,10,10,678
alright,0,26,4,4,46
slow down or just fly off randomly i guess,0,14,4,4,616
i almost died but i got it and i only have 136 points right now so im doing a lot better than ive been doing,0,685,7,7,157
alright i got 1500 points more this time really excited,0,558,2,2,13
slow down,0,51,10,10,455
i do not want to be going that fast,0,818,2,2,30
p alright are people usually this bad,0,20,2,2,419
alright this does nothin,0,16,5,5,348
its slow down,0,12,7,7,587
stop hitting me stop coming,0,113,3,3,381
i think my control is going in vain,0,57,7,7,1216
whatcha alright come here,0,16,10,10,770
im at 4 right now as far as the vulnerability 6 7 we are now at 0 shots so a bonus would be beneficial,0,848,7,7,349
alright beef,0,16,7,7,509
ok ok slow down,0,569,6,6,205
alright imma get it back,0,16,10,10,811
i thought that was right,0,16,3,3,209
alright i gotta keep shooting im at vulnerability 3 thought i was higher damn,0,404,10,10,387
and okay yeah there we go there we go slowing down now,0,41,6,6,502
i definitely like joystick in the right hand better,0,46,2,2,332
turn around,0,57,2,2,855
turn,0,788,4,4,170
i bet i know how to move,0,16,1,1,48
trying to move it slowly control it like the keyboard,0,432,4,4,164
just go to the right,0,818,9,9,218
their processing speed is just so fast and their fire rate is insane,0,211,8,8,111
alright slow down,0,16,4,4,305
stop shooting me,0,818,10,10,256
ohh vulnerability is gone too fast,0,211,7,7,93
speed is alright this time,0,46,7,7,479
alright get out the way,0,16,4,4,325
it seems i do a little better going counterclockwise round instead of clockwise,0,558,4,4,20
im missing a lot of point right now,0,34,1,1,41
and i cant even turn,0,16,4,4,294
too bad i keep losing points because i keep going into hyperspace,0,804,7,7,340
come on its way too fast,0,46,6,6,451
no turn,0,33,9,9,832
forward,0,53,10,10,462
go forward,0,51,5,5,169
slowly move,0,14,8,8,790
wow okay thats i think i have one more hit left,0,34,6,6,285
alright try to keep going in a counterclockwise shape,0,28,3,3,125
okay alright,0,113,9,9,507
and ive just lost control,0,818,4,4,76
there are other important things like fast enough where you can dodge the fortress but slow enough to where you can shoot the fortress that middle ground was i back to zero on that one,0,432,6,6,184
i thats a friendly alright im at 10,0,404,9,9,342
i should just be a hyperspace pilot,0,53,3,3,124
alright trying to get into a good path,0,319,3,3,50
alright,0,818,5,5,106
just gonna do fly bys okay were gonna try to gain control and were gonna,0,818,4,4,78
ill just take that hit i guess and control for it,0,12,9,9,657
no alright alright ok nope nope turn,0,210,3,3,32
okay going too fast,0,12,4,4,495
um its not worth going in a circle,0,3,3,3,50
slow down,0,51,7,7,235
out of control still,0,319,10,10,258
slow,0,210,8,8,135
p okay so this time im gonna go even slower,0,214,4,4,319
umm t nope that was too fast,0,404,7,7,251
aww now its real fast oh crap,0,211,7,7,92
i feel like going in circles increases points,0,647,7,7,226
p is it just the keyboard and the controller that i need to do,0,40,4,4,97
now im flying too fast,0,3,8,8,165
yeah i dont have any control,0,57,6,6,1191
okay back in control,0,818,5,5,118
p im doing better at staying in the hexagon well i was doing better at staying in the hexagon,0,45,7,7,76
hopefully itll offset some of the 1000 because im flying in circles,0,468,4,4,59
its just way much more ummmmm lack of control,0,57,8,8,1346
like i said before until you really master the controls of this thing its like you really cant do anything else with the game thats what it seems to me,0,127,8,8,271
i am spinning out of control,0,848,10,10,403
1 2 3 got the bonus 4 5 6 6 7 8 9 10 alright now im at 440,0,372,8,8,101
oh that was a fast one,0,20,7,7,683
its best to use light taps to move the ship around rather than long drawnout ones or else itll get crazy and start flying everywhere,0,681,2,2,238
were not going fast enough,0,46,1,1,297
all of the mines they move so fast you have t get that double click first try or itll hit you,0,400,2,2,115
slow down,0,12,9,9,663
slow down,0,739,9,9,89
youre right,0,57,1,1,732
going too fast,0,319,9,9,223
turn stay,0,20,1,1,409
alright umm the vulnerability is still at 0 so i cannot attack the fortress,0,372,1,1,15
and i okay okay ive lost control a little bit,0,685,2,2,30
like right now i cant play and think,0,214,4,4,329
alright,0,54,2,2,324
alright,0,319,2,2,18
screen wrap really takes the points out of my system so if i could just avoid screen wrap then i shouldnt be mumbles,0,404,10,10,374
rotate slowly,0,300,2,2,262
ok so i think im definitely getting the controls a bit more each time its no longer like a umm oh maybe i can start playing the game,0,468,5,5,83
