statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
dollar sign no bonus,1,1,273,1,11,225,TRUE,1
bonus,1,1,34,7,17,1071,TRUE,1
bonus,1,1,56,5,15,411,TRUE,1
bonus,1,1,56,3,13,316,TRUE,1
point bonus got it point bonus,1,1,210,3,13,233,TRUE,1
5 yes bonus,1,1,210,5,15,294,TRUE,1
bonus points,1,1,33,7,7,721,TRUE,1
m thats friendly ok im just gonna take the bonus because i saw it and got lucky,1,1,404,6,6,232,TRUE,1
bonus,1,1,301,8,8,217,TRUE,1
bonus,1,1,623,3,13,51,TRUE,1
i got almost all the bonuses except for one,1,1,55,7,17,318,TRUE,1
okay thats not as bad a score and i got a missile bonus so,1,1,15,2,12,131,TRUE,1
thats bad second bonus,1,1,130,7,17,146,TRUE,1
bonus,1,1,23,8,8,201,TRUE,1
bonus,1,1,27,10,20,485,TRUE,1
got another bonus,1,1,46,3,3,349,TRUE,1
did not get that bonus,1,1,46,10,10,620,TRUE,1
2 3 4 5 the bonus would be points,1,1,372,6,6,80,TRUE,1
bonus,1,1,28,6,16,719,TRUE,1
p okay bonus opportunity,1,1,50,10,10,119,TRUE,1
bonus points,1,1,685,2,12,251,TRUE,1
okay early on if i can get bonuses i will have a higher score,1,1,44,6,16,140,TRUE,1
ill wait so i can get my bonus points,1,1,14,1,1,451,TRUE,1
oh bonus,1,1,34,4,14,791,TRUE,1
p dollar sign one dollar sign two bonus,1,1,22,10,20,92,TRUE,1
if that comes up oh no more bonus,1,1,20,4,4,541,TRUE,1
i think thats a bonus cause i saw it the first time,1,1,130,3,13,54,TRUE,1
ah bonus,1,1,30,1,11,598,TRUE,1
i feel like theres been a bonus oh i shouldnt have done that,1,1,301,2,12,30,TRUE,1
there was just one dollar sign and a second so i will collect 100 bonus points,1,1,848,4,4,296,TRUE,1
ok theres the first bonus sign,1,1,404,1,11,415,TRUE,1
i need those bonuses to come,1,1,54,5,15,145,TRUE,1
that should be a bonus no,1,1,12,4,4,484,TRUE,1
money sign bonus,1,1,681,5,15,86,TRUE,1
bonus points,1,1,50,9,19,407,TRUE,1
p bonus missiles,1,1,50,10,10,126,TRUE,1
okay my second bonus pints,1,1,34,1,1,48,TRUE,1
p bonus cause i need it,1,1,17,5,15,70,TRUE,1
bonus,1,1,26,3,3,32,TRUE,1
okay bonuses are important,1,1,36,5,15,491,TRUE,1
oh another bonus,1,1,348,9,19,95,TRUE,1
maybe ill get a second opportunity for a bonus,1,1,44,5,15,101,TRUE,1
ah man going out of control here ok bonus if that pops up again im gonna hit it,1,1,404,10,10,377,TRUE,1
i got a bonus but im pretty sure i lost it,1,1,338,1,1,16,TRUE,1
dollar sign bonus,1,1,55,7,17,276,TRUE,1
bonus,1,1,43,5,15,49,TRUE,1
okay got the first bonus and there goes another lucky shot,1,1,804,1,11,25,TRUE,1
theres one right here so i got the bonus,1,1,848,4,14,75,TRUE,1
p ugh missed my bonus,1,1,19,4,4,109,TRUE,1
dollar sign again bonus,1,1,55,5,5,764,TRUE,1
got a bonus,1,1,788,6,16,72,TRUE,1
the only things that im grabbing are the bonus,1,1,679,4,14,271,TRUE,1
bonus,1,1,56,6,16,485,TRUE,1
okay bonus,1,1,28,9,19,844,TRUE,1
well i care about the speed control and the velocity i dont care about the shots the points the mines the bonus just trying to kill this thing,1,1,35,9,19,145,TRUE,1
wait bonus rule still applies after death so i get a bonus,1,1,44,10,20,419,TRUE,1
i get bonus,1,1,44,10,20,434,TRUE,1
that was not a bonus,1,1,46,2,2,335,TRUE,1
bonus of 100 points vulnerability 1 2ok 4,1,1,853,7,17,424,TRUE,1
dollar sign for a bonus,1,1,44,9,19,354,TRUE,1
however i can finally use my bonus soon for,1,1,130,4,14,97,TRUE,1
bonus,1,1,46,8,8,523,TRUE,1
bonus points,1,1,33,6,6,691,TRUE,1
ok theres one dollar sign i need two to get to the bonus yes bonus points,1,1,929,2,2,18,TRUE,1
i didnt get that bonus,1,1,372,1,1,13,TRUE,1
bonus,1,1,50,6,16,306,TRUE,1
p get some bonus shouldve got shots instead,1,1,19,1,11,12,TRUE,1
friendly money sign this one is probably gonna be a bonus because i havent had one in a while,1,1,681,8,18,147,TRUE,1
mumbles okay i got a bonus,1,1,445,2,2,412,TRUE,1
i still have yet to care to get the bonuses and ive also been getting like 5000 foes and thats not cool,1,1,121,6,16,118,TRUE,1
bonus i think thats the second one i got bonus missiles,1,1,8,1,11,18,TRUE,1
bonus,1,1,44,6,16,179,TRUE,1
bonus,1,1,36,7,17,568,TRUE,1
i saw two two umm two dollar signs so i got the bonus,1,1,468,7,7,142,TRUE,1
im at 4 right now as far as the vulnerability 6 7 we are now at 0 shots so a bonus would be beneficial,1,1,848,7,7,349,TRUE,1
p get my bonus cause i need it,1,1,17,9,9,50,TRUE,1
k thats friendly ok theres the first bonus sign second one clicked it bonus,1,1,404,4,14,531,TRUE,1
w money sign bonus,1,1,681,7,17,124,TRUE,1
bonus,1,1,56,9,19,657,TRUE,1
bonus points,1,1,41,3,3,420,TRUE,1
bonus points,1,1,6,9,9,133,TRUE,1
got the bonus,1,1,319,2,2,39,TRUE,1
i can still get a bonus when theres a dollar sign nearby,1,1,44,2,2,517,TRUE,1
alright bonus i got a bonus uhhh points,1,1,273,5,15,291,TRUE,1
not paying attention to the bonuses i could hustle,1,1,569,7,17,94,TRUE,1
that was a dollar sign and i dont know which bonus i took i think i hit both the buttons,1,1,604,5,15,194,TRUE,1
i missed the bonus,1,1,113,1,1,320,TRUE,1
even if i started killing more fortresses theres no way id be able to keep track of points and bonuses,1,1,36,7,7,203,TRUE,1
bonus,1,1,27,10,20,484,TRUE,1
thats the first bonus symbol alright stay inside try not to hit the middle,1,1,404,9,19,702,TRUE,1
1 2 3 4 5 6 dollar sign 7 8 q its not a bonus,1,1,14,10,10,843,TRUE,1
but i get 200 bonus points,1,1,30,2,2,76,TRUE,1
keeping up with bonuses,1,1,804,7,17,149,TRUE,1
got the bonus and the dollar sign is pure not paying attention,1,1,44,6,16,152,TRUE,1
bonus,1,1,4,3,3,248,TRUE,1
got the bonus,1,1,404,2,12,457,TRUE,1
dollar sign pop up one more time there we go bonus,1,1,319,4,4,102,TRUE,1
another dollar sign bonus,1,1,55,4,4,728,TRUE,1
i didnt get any bonuses this time,1,1,902,2,12,131,TRUE,1
bonus,1,1,50,2,12,182,TRUE,1
well there goes the bonus points i got a little bit,1,1,36,1,11,318,TRUE,1
bonus,1,1,33,2,2,462,TRUE,1
oh wait lets take bonus points and im dead,1,1,41,5,5,484,TRUE,1
thats a friendly managed to energize it theres bonus 1,1,1,404,10,10,389,TRUE,1
there you go bonus,1,1,4,6,16,82,TRUE,1
its starting to get easier so i can pay attention to other things like bonus counter and mines coming in,1,1,681,4,4,255,TRUE,1
bonus points,1,1,6,4,14,214,TRUE,1
got the bonus points 8 9 professional,1,1,41,10,10,619,TRUE,1
p friend bonus too,1,1,22,2,12,15,TRUE,1
bonus,1,1,56,2,12,248,TRUE,1
another dollar sign i got a bonus of 100 points,1,1,853,8,8,207,TRUE,1
i know there bonus points but i dont wanna get hurt if i touch the hexagon,1,1,57,9,9,1402,TRUE,1
didnt mean to get that bonus,1,1,28,2,2,108,TRUE,1
alright bonus thats always a plus,1,1,348,7,17,70,TRUE,1
p theres the first dollar sign got the bonus points thats a friend,1,1,45,7,17,193,TRUE,1
p thanks bonuses,1,1,44,6,16,207,TRUE,1
got the bonus points,1,1,50,7,17,360,TRUE,1
bonus,1,1,56,7,7,88,TRUE,1
oh but gotta bonus,1,1,57,10,10,1443,TRUE,1
4 5 6 7 8 bonus,1,1,14,6,6,685,TRUE,1
money sign left click bonus,1,1,681,8,8,304,TRUE,1
inaudible bonus,1,1,3,10,20,535,TRUE,1
should have gotten that bonus,1,1,15,9,9,1192,TRUE,1
i got a bonus thats good,1,1,445,10,20,328,TRUE,1
bonus,1,1,56,1,11,228,TRUE,1
yes only wrapped around the screen eight times and missed two bonuses,1,1,55,6,16,263,TRUE,1
bonus points,1,1,26,4,4,59,TRUE,1
i just got a bonus 5 6 7 8 9 10,1,1,372,8,8,95,TRUE,1
oh i got a bonus,1,1,445,5,15,146,TRUE,1
another dollar bonus,1,1,273,10,10,204,TRUE,1
ah i missed the bonus,1,1,113,10,10,533,TRUE,1
theres bonus,1,1,8,5,15,138,TRUE,1
ok just um hit bonus,1,1,977,9,19,60,TRUE,1
got the bonus,1,1,46,9,19,223,TRUE,1
got a bonus,1,1,30,2,2,66,TRUE,1
oh point bonus oh 10,1,1,210,6,16,320,TRUE,1
p bonus points,1,1,50,10,10,132,TRUE,1
alright thats not the bonus,1,1,273,4,4,95,TRUE,1
bonus,1,1,55,2,12,43,TRUE,1
get a bonus,1,1,44,6,16,138,TRUE,1
bonus,1,1,55,1,11,23,TRUE,1
p dollar sign bonus,1,1,22,8,18,72,TRUE,1
got the bonus,1,1,36,8,18,601,TRUE,1
1 on vulnerability just got a bonus,1,1,372,9,9,116,TRUE,1
8 9 first bonus sign im gonna wait actually to see if i can get a second bonus sign,1,1,404,5,15,560,TRUE,1
3 4 5 6 7 8 9 alright destroyed mine got bonus and destroyed fortress,1,1,372,9,19,226,TRUE,1
missile bonus,1,1,210,6,6,80,TRUE,1
so for second money sign bonus,1,1,34,7,7,344,TRUE,1
bonus that was a mistake but i guess that was fine,1,1,853,10,20,471,TRUE,1
bonus,1,1,33,2,2,477,TRUE,1
maybe vulnerability or bonuses,1,1,432,5,5,179,TRUE,1
point bonus,1,1,210,6,6,76,TRUE,1
second dollar sign bonus,1,1,647,7,7,218,TRUE,1
friendly mine on screen bonus,1,1,319,10,20,434,TRUE,1
bonus,1,1,56,5,15,425,TRUE,1
p try not to focus on the bonus signs,1,1,44,6,6,851,TRUE,1
im not even worried abouttne he bonus,1,1,48,2,2,85,TRUE,1
bonus,1,1,27,9,19,446,TRUE,1
bonus,1,1,155,10,20,172,TRUE,1
okay getting more bonus missiles,1,1,50,8,18,383,TRUE,1
but i did get a bonus for the first time,1,1,338,8,8,171,TRUE,1
ok ill get the bonus this time if the dollar sign pops up again got it,1,1,404,9,9,348,TRUE,1
dollar sign again bonus,1,1,55,2,12,71,TRUE,1
oh bonus,1,1,15,6,6,1010,TRUE,1
friend thats a bonus,1,1,929,5,5,51,TRUE,1
i dont know how oh another sign oh yeah bonus,1,1,20,3,3,501,TRUE,1
i keep on dying but staying inside the hexagon is really hard wow i just got second bonus,1,1,130,6,16,140,TRUE,1
bonus points,1,1,50,8,18,397,TRUE,1
ill just fly around until theres another bonus,1,1,3,7,7,144,TRUE,1
i am taking a bonus of points,1,1,604,6,6,622,TRUE,1
im getting this bonus opportunity,1,1,361,10,10,60,TRUE,1
ok so theres the dollar sign for the first time oh wait yes i got bonus points why didnt i get bonus points because i didnt stay in the lines,1,1,455,7,17,117,TRUE,1
i messed up the bonus again,1,1,6,9,19,298,TRUE,1
get that bonus,1,1,739,9,9,97,TRUE,1
theres the first bonus symbol,1,1,404,10,20,771,TRUE,1
money sign bonus,1,1,537,1,11,11,TRUE,1
bonus points,1,1,6,4,4,63,TRUE,1
im gonna get some bonus points before i die,1,1,24,8,8,191,TRUE,1
dollar sign get bonus,1,1,809,4,14,64,TRUE,1
got the bonus,1,1,788,4,14,44,TRUE,1
dollar sign and bonus points,1,1,273,5,15,295,TRUE,1
bonus,1,1,818,10,10,266,TRUE,1
clicked for bonus points,1,1,604,4,14,154,TRUE,1
i dont think theres a bonus yet,1,1,43,5,15,45,TRUE,1
bonus,1,1,804,8,18,185,TRUE,1
thats not the bonus oh no ah,1,1,33,7,17,271,TRUE,1
keep bonuses,1,1,411,10,20,278,TRUE,1
there were just 2 dollar signs so i received the 100 point bonus,1,1,848,8,18,162,TRUE,1
but im getting more bonuses so,1,1,338,8,18,322,TRUE,1
first bonus sign q friendly mumbling,1,1,404,5,15,571,TRUE,1
8 9 10 cool i got the bonus points and i destroyed fortress and he took 50 points away from me but whatever,1,1,685,4,14,298,TRUE,1
oh i just messed that up alright well i can get the bonus so thats okay,1,1,348,9,19,99,TRUE,1
lets take the bonus points cuz i saw the bonus 1 2 8 10,1,1,41,8,18,258,TRUE,1
pay attention for the bonus and back the control,1,1,44,6,16,164,TRUE,1
get that bonus,1,1,44,9,9,1143,TRUE,1
ok theres the bonus cool,1,1,473,10,20,211,TRUE,1
without going right after the bonus,1,1,12,7,17,208,TRUE,1
got the bonus alright stay in the control zone in the control zone,1,1,404,3,13,503,TRUE,1
p i see a dollar sign see a dollar sign got bonus points,1,1,50,2,2,20,TRUE,1
bonus,1,1,23,7,7,180,TRUE,1
money sign bonus,1,1,681,1,11,14,TRUE,1
bonus is left,1,1,1,6,16,600,TRUE,1
hope that ones not a bonus,1,1,27,6,16,349,TRUE,1
point bonus,1,1,210,3,13,232,TRUE,1
p theres definitely a lot going on in this game to deal with the mines and the fortress and the bonuses,1,1,2,2,2,13,TRUE,1
p i like how bonuses come up,1,1,19,6,6,134,TRUE,1
theres a friendly mine i got the bonus,1,1,468,6,6,131,TRUE,1
bonus,1,1,53,5,5,205,TRUE,1
and i just chose more bonus points,1,1,685,3,3,48,TRUE,1
not a bonus so i definitely just missed out,1,1,1,4,4,160,TRUE,1
p got my bonus shots cause i needed those and already got points,1,1,19,3,3,102,TRUE,1
bonus,1,1,56,10,20,717,TRUE,1
got a new bonusshots,1,1,3,6,16,432,TRUE,1
bonus points yes do that,1,1,818,6,16,457,TRUE,1
wow at least i got a bonus,1,1,15,10,20,600,TRUE,1
got the bonus,1,1,46,5,5,431,TRUE,1
bonus,1,1,604,6,6,614,TRUE,1
p dont know if this is the bonus or not think thats the first sign,1,1,19,9,9,160,TRUE,1
got the bonus,1,1,48,4,4,165,TRUE,1
get a bonus,1,1,49,2,12,60,TRUE,1
dollar sign no bonus,1,1,273,4,14,279,TRUE,1
its literally appeared twice why isnt it giving me my bonus,1,1,101,10,20,339,TRUE,1
give me the bonus,1,1,9,6,16,243,TRUE,1
2 second bonus,1,1,473,4,14,80,TRUE,1
bonus,1,1,537,2,12,35,TRUE,1
yea thats an enemy oh no i killed myself just staying in here getting the extra bonus,1,1,130,5,15,106,TRUE,1
i guess take the bonus shots,1,1,41,9,9,599,TRUE,1
second bonus symbol,1,1,404,9,19,720,TRUE,1
oh i missed the bonus,1,1,853,1,1,18,TRUE,1
okay thats double bonus lemmy take the bonus shots t is a good mine or is it not,1,1,41,4,14,149,TRUE,1
dollar sign uhh i forgot what i was thinking hmm that was a bonus but i missed it i think unless that was the same one dollar sign one tce,1,1,853,8,18,436,TRUE,1
bonus points,1,1,818,8,18,506,TRUE,1
p ive been trying tomumbles another bonus maybe,1,1,689,3,13,64,TRUE,1
the next bonus ill get more bullets there we go first bonus sign,1,1,130,4,4,296,TRUE,1
ah theres the first sign i hope that doesnt count when i move back through twice bonus sign first one,1,1,404,6,16,599,TRUE,1
2 money sign 3 4 money signbonus,1,1,301,10,10,249,TRUE,1
bonus,1,1,49,8,18,203,TRUE,1
i guess im just gonna shoot for the bonus the points bonus every time now,1,1,404,3,3,110,TRUE,1
hopefully its friendly no its not ah man forgot to look for the second bonus on that,1,1,404,3,13,499,TRUE,1
got that bonus,1,1,131,2,12,32,TRUE,1
woo bonus,1,1,455,6,6,263,TRUE,1
i missed that bonus,1,1,6,4,14,228,TRUE,1
second money sign ok bonus points,1,1,34,6,6,293,TRUE,1
yup got a bonus,1,1,44,8,18,317,TRUE,1
y thats a friendly too there we go got the bonus and made the hit,1,1,404,6,16,593,TRUE,1
i dont know if this is the second time the bonus has popped up though so that is also a problem,1,1,404,4,4,149,TRUE,1
got the bonus,1,1,46,5,5,408,TRUE,1
money sign h got him money sign bonus killed the fortress,1,1,681,2,12,27,TRUE,1
dollar sign bonus good,1,1,55,10,10,1031,TRUE,1
might be going too slowly no im going fine first bonus symbol u managed to get it,1,1,404,7,17,635,TRUE,1
grab the bonus points,1,1,41,6,16,191,TRUE,1
oh double click i dont understand that bonus that one time and now its not,1,1,101,5,15,196,TRUE,1
extra bonus look at that,1,1,101,6,16,252,TRUE,1
i also really havent tried to get the bonuses,1,1,400,4,14,41,TRUE,1
okay so there i killed the mine killed the fortress and got the money sign bonus,1,1,681,5,5,278,TRUE,1
bonus points,1,1,26,8,18,366,TRUE,1
so first bonus,1,1,8,3,13,74,TRUE,1
theres one money and there was a b yb and c bonus y g is a friend theres another money sign,1,1,623,9,9,319,TRUE,1
yea lets get this bonus,1,1,155,10,10,299,TRUE,1
didnt get any bonuses though,1,1,6,3,3,50,TRUE,1
i dont remember theres something about the second dollar sign that pops up thatll get you the bonus,1,1,273,2,2,42,TRUE,1
zpg bonus points again the only hope i have,1,1,41,1,1,385,TRUE,1
bonuses are hard to look at,1,1,28,4,4,180,TRUE,1
i think im noticing less bonus points but it could be me looking at the wrong time every time or like the dollar signs or whatever,1,1,685,4,4,79,TRUE,1
uh theres an h on the screen mine there was also just a bonus,1,1,848,8,18,166,TRUE,1
oh just got a bonus,1,1,902,6,6,88,TRUE,1
oh no bonus popped up and i was trying to get that too,1,1,36,5,15,504,TRUE,1
p bonus cause i need it,1,1,17,1,11,58,TRUE,1
bonus,1,1,301,8,8,208,TRUE,1
second money sign i just clicked i didnt get the bonus,1,1,34,9,9,433,TRUE,1
thats the second i got bonus points,1,1,6,4,4,55,TRUE,1
oh no there it is no no i didnt miss it i lost my bonus which is cool cause yeah i love being dead,1,1,604,7,17,304,TRUE,1
okay i forgot which bonus i clicked cool,1,1,7,3,3,361,TRUE,1
okay bonus shots,1,1,825,8,18,452,TRUE,1
waiting for a bonus,1,1,54,2,2,330,TRUE,1
yes its at 1 keep it there participant name bonus,1,1,101,5,15,198,TRUE,1
thats bonus shots boom,1,1,41,2,2,395,TRUE,1
bonus darn it,1,1,301,10,20,144,TRUE,1
p bonus,1,1,50,5,5,54,TRUE,1
there was just the 2nd dollar sign so i collected another bonus which would be the 3rd bonus this round,1,1,848,6,16,123,TRUE,1
oh bonus yay,1,1,113,7,17,215,TRUE,1
bonus,1,1,56,8,18,585,TRUE,1
i need to pay attention to the bonus,1,1,44,6,16,175,TRUE,1
just trying to oh no thats an ally i think im running low on shots so im going to need more missiles next bonus im pretty sure thats an ally i cant shoot it oh man,1,1,130,4,14,93,TRUE,1
bonus points,1,1,14,6,6,679,TRUE,1
bonus opportunities 5,1,1,34,6,6,318,TRUE,1
