statementClean,cRelevantAlex,cRelevantPatricia,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,cRelevantConsensus,Reason
ah ok i see alright,0,0,214,1,1,189,TRUE,0,
umm the whole counterclockwise trying to move in the control zone is really iffy for me,1,1,404,8,8,319,TRUE,1,
i need it to go slower i need it to calm down,1,1,52,8,8,801,TRUE,1,
p alright that was really frustrating because it kind of got stuck in an endless loop in between both sides,1,1,558,3,3,15,TRUE,1,
thats 12 and i mumbles alright,0,0,788,8,8,160,TRUE,0,
ohhh right on time,0,0,53,9,9,443,TRUE,0,
not staying inside the hexagon now i am,1,1,569,8,8,221,TRUE,1,
turn,1,1,51,5,5,158,TRUE,1,
13 shots left,0,0,26,9,9,159,TRUE,0,
im going to try shooting at a slower rate this time,0,0,300,4,4,285,TRUE,0,
mumbles out go back in mumbles move or stay inside okay,1,1,26,8,8,125,TRUE,1,
haha i think my ultimate strategy here is to really not even worry about the control zone because it is so hard to stay in,1,1,404,2,2,78,TRUE,1,
oh ive gotten to slow down officially now,1,1,113,8,8,488,TRUE,1,
so just constantly moving,1,1,400,1,1,48,TRUE,1,
turn go forward go forward there you go forward turn,1,1,210,5,5,55,TRUE,1,
for this game we are going to try and do originally what the goal of the game is to fly in a hexagon around the fortress periodically shooting it for some reason it has not shot at me yet,1,1,848,7,7,331,TRUE,1,
pokay mouse right,0,0,55,1,1,539,TRUE,0,
going in a circle is another thing,1,1,468,6,6,115,TRUE,1,
p turn ok,1,1,210,4,4,48,TRUE,1,
stop on screen,0,0,51,8,8,316,TRUE,0,
but if my theory still proves true as soon as i get the hang of this theyll switch the controls on me,0,0,53,4,4,184,TRUE,0,
try to do a fly by,1,1,818,6,6,147,TRUE,1,
i remember what the letters were right,0,0,57,5,5,1154,TRUE,0,
mumbles im only pressing the shoot button and the rotate button at the same time,0,0,300,5,5,300,TRUE,0,
24 too fast,1,1,211,10,10,137,TRUE,1,
mumbles that was fast,0,0,788,9,9,169,TRUE,0,
alright thats my best game yet,0,0,41,5,5,470,TRUE,0,
p alrighty,0,0,41,4,4,414,TRUE,0,
so like here you go shows how he is turning to stay in the hexagon then here,1,1,214,5,5,301,TRUE,1,
alright,0,0,558,10,10,76,TRUE,0,
its just the amount you press the acceleration key like it pushes you forward,1,1,214,5,5,305,TRUE,1,
going too fast going too fast,1,1,319,9,9,221,TRUE,1,
i am trying to navigate but nothing is working and im just flying around without oh there we go,1,1,20,1,1,396,TRUE,1,
alright go right go that way go backwards,1,1,20,5,5,580,TRUE,1,
ahh alright that is t u j,0,0,20,2,2,427,TRUE,0,
maybe i should move in a circle because my best score came when i got 0 kills but moved in a circle,1,1,400,4,4,89,TRUE,1,
ok theres ok 24 i almost got it and if i stay in the center and outside the hexagon i should have the theres a dollar sign,1,1,569,3,3,136,TRUE,1,
forward,1,1,51,8,8,340,TRUE,1,
stay inside the hexagon,1,1,130,10,10,414,TRUE,1,
one personal space two personal space,0,0,53,3,3,113,TRUE,0,
kay bad mine interval too slow,0,0,41,9,9,593,TRUE,0,
no stop stop,0,0,14,4,4,569,TRUE,0,
im going so fast,1,1,28,6,6,257,TRUE,1,
nope keep mumbles cannot get it to stay in the hexagon,1,1,52,3,3,564,TRUE,1,
okay this is difficult to control,1,1,52,1,1,485,TRUE,1,
alright 5 hits on the vulnerability counter,0,0,372,2,2,31,TRUE,0,
i dont like going into hyperspace but sometimes hyperspace is the only way you can get away,1,1,804,8,8,372,TRUE,1,
turn turn turn,1,1,127,9,9,264,TRUE,1,
yeah go forward,1,1,28,3,3,140,TRUE,1,
i got no control over this and its bad,1,1,49,2,2,324,TRUE,1,
but im moving i dont,1,1,54,10,10,466,TRUE,1,
going nice and slow,1,1,41,5,5,454,TRUE,1,
yup turn then move,1,1,16,6,6,447,TRUE,1,
its best to use light taps to move the ship around rather than long drawnout ones or else itll get crazy and start flying everywhere,1,1,681,2,2,238,TRUE,1,
im not going to try to go in the clockwise motion im just going to shoot at it and hope for the best,1,1,411,2,2,29,TRUE,1,
oh i still cant control the ship and ive been playing this for a little while now its insane,1,1,214,3,3,248,TRUE,1,
okay gotta get in control,1,1,214,10,10,408,TRUE,1,
mine cane okay gotta really figure out how to control my ship here go the opposite direction so i want okay now im in like a good like,1,1,41,3,3,397,TRUE,1,
were gonna go the optimal path this time alright gonna turn around alright lets gothats not that fast,1,1,818,1,1,7,TRUE,1,
i just care about getting shot because the fortress shoots you very fast,0,0,400,2,2,63,TRUE,0,
alright shot it again,0,0,473,7,7,305,TRUE,0,
alright a so,0,0,473,1,1,164,TRUE,0,
now im lost in hyperspace trying to gain control,1,1,468,7,7,144,TRUE,1,
im missing a lot of point right now,0,0,34,1,1,41,TRUE,0,
alright,0,0,319,2,2,28,TRUE,0,
theres one right here so i got the bonus,0,0,848,4,4,265,TRUE,0,
alright this does nothin,0,0,16,5,5,348,TRUE,0,
so very much needs to slow down,1,1,12,3,3,441,TRUE,1,
alright so for our last trial i will try and stay in the fortress as best as possible following the original game plan of spinning clockwise while trying to avoid the mines and shots,1,1,848,10,10,396,TRUE,1,
d friendly im in a bad spot ah man im not going very fast but not slow either,1,1,404,6,6,234,TRUE,1,
no alright alright ok nope nope turn,1,1,210,3,3,32,TRUE,1,
and keep flying and control is actually good but my points suck,1,1,33,8,8,831,TRUE,1,
gimme that right back,0,0,16,6,6,452,TRUE,0,
interval was right,0,0,34,1,1,37,TRUE,0,
alright so this time we will try and not to suffer mumbles this game is a little more just kinda rogue flying around not 100 staying within the boundaries but trying to not go into hyperspace,1,1,848,8,8,363,TRUE,1,
um its not worth going in a circle,1,1,3,3,3,50,TRUE,1,
cant do anything else right,0,0,52,3,3,596,TRUE,0,
im more of a controller person,0,0,53,2,2,58,TRUE,0,
there and zs out 6 7 8 9 losing control losing control 10 oh,1,1,825,6,6,189,TRUE,1,
trying to avoid this hyper space is harder than i thought,1,1,210,6,6,81,TRUE,1,
i could fire at that if i knew how to turn,1,1,52,5,5,690,TRUE,1,
alright thats one dollar sign thats one dollar sign,0,0,16,3,3,199,TRUE,0,
alright come on,0,0,16,9,9,716,TRUE,0,
need to control the ship,1,1,28,5,5,231,TRUE,1,
just trying to get a slow kinda like slide past the tower,1,1,24,4,4,96,TRUE,1,
im just kinda going in circles,1,1,468,6,6,109,TRUE,1,
i didnt turn fast enough,1,1,46,9,9,597,TRUE,1,
i just clicked the right one,0,0,54,4,4,269,TRUE,0,
come on man how fast i gotta click,0,0,16,7,7,540,TRUE,0,
yea i can do l turn it into,0,0,52,5,5,676,TRUE,0,
i feel like everytime i lose slight control i just fly off into space,1,1,12,2,2,424,TRUE,1,
alright nope nope nope nope nope nope nope,0,0,818,2,2,19,TRUE,0,
stop spinning fly direct,1,1,210,4,4,40,TRUE,1,
p it accelerates really really fast and then,1,1,130,1,1,236,TRUE,1,
alright thats one dollar sign,0,0,16,6,6,438,TRUE,0,
cant go backwards,1,1,51,6,6,224,TRUE,1,
and mumbles 6 shots left,0,0,432,10,10,214,TRUE,0,
p vyb alright vyb,0,0,127,6,6,213,TRUE,0,
so much for control points,1,1,12,6,6,541,TRUE,1,
alright thats two down,0,0,16,3,3,244,TRUE,0,
so i guess my strategy is to just go around it and shoot at the fortress and make it go as slow as i can,1,1,211,2,2,31,TRUE,1,
p okay my points never gonna im never gonna get high points cuz i wrap the screen too much so,1,1,16,2,2,171,TRUE,1,
alright,0,0,454,3,3,180,TRUE,0,
one come on slow down slow down,1,1,53,7,7,297,TRUE,1,
need to slow down,1,1,14,4,4,562,TRUE,1,
alright so i think i got a strategy going,0,0,568,3,3,68,TRUE,0,
slow down ship,1,1,214,3,3,257,TRUE,1,
alright so i gotta retry the strategy i gotta get it going straight first which is the tricky part,1,1,848,2,2,221,TRUE,1,
i cant slow it down,1,1,127,5,5,208,TRUE,1,
okay okay alright nice and slow,1,1,41,1,1,319,TRUE,1,
okay turn,1,1,54,1,1,189,TRUE,1,
all right so thatll take like forever to get used to i guess,0,0,12,1,1,345,TRUE,0,
if i dont do it right than im just im dead,0,0,40,3,3,64,TRUE,0,
slow down,1,1,28,6,6,259,TRUE,1,
turn turn turn,1,1,127,6,6,218,TRUE,1,
mine came at me i couldnt press fast enough,0,0,300,2,2,237,TRUE,0,
bonus left,0,0,27,6,6,111,TRUE,0,
alright you have to be a pro gamer to do well in this game,0,0,20,7,7,666,TRUE,0,
p  alright,0,0,319,4,4,92,TRUE,0,
counterclockwise huh maybe i was wrong,1,1,53,3,3,94,TRUE,1,
hey alright mumbles,0,0,30,6,6,291,TRUE,0,
im not good mumbles that can actually like stay they just like stay in the hexagon i just feel like they dont go out to the screen that often,1,1,57,9,9,1404,TRUE,1,
i keep doing better when it brings me in because when im out on the edges its way more difficult,1,1,211,4,4,49,TRUE,1,
4 5 6 7 8 you know if you go to hyperspace you just confuse the please dont die im so close 9 more tod no tod,1,1,41,7,7,524,TRUE,1,
what left,0,0,51,10,10,398,TRUE,0,
turn and thrust and then turn and then thrust,1,1,53,10,10,472,TRUE,1,
alright im going to try this again,0,0,20,9,9,734,TRUE,0,
alright this is a little bit easier to control,1,1,372,2,2,22,TRUE,1,
hyperspace captain,1,1,53,4,4,174,TRUE,1,
alright,0,0,28,10,10,422,TRUE,0,
counterclockwise,1,1,432,8,8,183,TRUE,1,
and a little bit forward,1,1,28,4,4,172,TRUE,1,
okay score is slowly going up,0,0,681,3,3,249,TRUE,0,
its off the screen,1,1,3,4,4,72,TRUE,1,
were at 5 vulnerability right now so that nice,0,0,34,2,2,72,TRUE,0,
it doesnt really matter where youre facing you have to keep moving to not get shot but stop moving by turning completely around and going in that direction,1,1,513,3,3,49,TRUE,1,
turn thrust,1,1,53,10,10,477,TRUE,1,
and then just trying to stay inside the hexagon,1,1,130,2,2,244,TRUE,1,
alright lemmy learn how to turn,1,1,16,4,4,274,TRUE,1,
p stay inside this hexagon,1,1,50,6,6,64,TRUE,1,
p yeah i dont really got a lot of thoughts right now,0,0,49,1,1,264,TRUE,0,
its very difficult to control the thing and i wish this guy would stop trying to shoot me and lets see,1,1,47,1,1,5,TRUE,1,
yeah its just really hard with the arrows keys to keep your ship in control while its moving around frictionless,1,1,681,1,1,202,TRUE,1,
ah moving pretty fast now i gotta slow down a bit,1,1,404,3,3,102,TRUE,1,
alright,0,0,28,6,6,247,TRUE,0,
mumbles dont want to go out of bounds because it completely completely flips the guy so its confusing,1,1,57,3,3,1011,TRUE,1,
p im trying to slow this ship down and tilt it a little bit forward but it keeps going faster which really sucks,1,1,411,4,4,53,TRUE,1,
alright thats one down,0,0,16,7,7,536,TRUE,0,
it already hit me theres so many theyre all interfering with each other i cant remember which ones were the right ones,0,0,190,3,3,158,TRUE,0,
all right i just wanna try getting the hang of just going around the recurrent way,1,1,57,2,2,895,TRUE,1,
p no no i wish i did i just gotta get a hold of the controls for the most part i was actually like spinning around inside the hexagon a little bit but it was just that those mines really like got me scared a little bit and i just like lost control and like ok how do i get this back,1,1,568,2,2,58,TRUE,1,
im just like gonna tap right now,0,0,49,1,1,265,TRUE,0,
if i could turn this thing,1,1,29,9,9,580,TRUE,1,
turn turn turn,1,1,127,10,10,276,TRUE,1,
i didnt realize i was going to be moving,1,1,54,1,1,180,TRUE,1,
im losing points as im in hyperspace,1,1,57,6,6,1218,TRUE,1,
okay yeah so you have to like point before you can move forward,1,1,214,1,1,205,TRUE,1,
okay stay within the lines mumble hyperspace,1,1,804,10,10,419,TRUE,1,
okay wow im losing so many points right now,0,0,34,7,7,358,TRUE,0,
more control i get over it the slower i move it and what ends up happening is i get hit by the enemy fortress,1,1,404,4,4,144,TRUE,1,
i cant even stay in the circle,1,1,20,1,1,391,TRUE,1,
p im clicking the right mouse,0,0,33,9,9,863,TRUE,0,
alright im out one,0,0,16,6,6,490,TRUE,0,
turn turn turn turn around turn around there you go,1,1,210,5,5,58,TRUE,1,
turn and oh dead,1,1,28,3,3,143,TRUE,1,
fast enough to make it work,1,1,40,3,3,66,TRUE,1,
always be turning,1,1,513,3,3,50,TRUE,1,
its just staying inside this hexagon is the worst part,1,1,685,5,5,106,TRUE,1,
turn again this way,1,1,57,2,2,902,TRUE,1,
alright come on come on,0,0,16,6,6,489,TRUE,0,
alright turn,1,1,28,4,4,194,TRUE,1,
almost got a full circle,1,1,739,9,9,98,TRUE,1,
focus to get inside the hexagon,1,1,300,1,1,199,TRUE,1,
its easier to stay in hyperspace than inside the hexagon,1,1,300,2,2,232,TRUE,1,
alright space bar,0,0,190,2,2,128,TRUE,0,
i gotta stop missing,0,0,24,5,5,119,TRUE,0,
alright get out that shit,0,0,16,10,10,820,TRUE,0,
alright well i always seem to keep getting shot at so im juts going to move around,1,1,54,7,7,392,TRUE,1,
nope no i just did a complete circle for some reason,1,1,818,6,6,138,TRUE,1,
